#--- Do not edit. Generated automatically from SndRcv ---
#Time_sec,Time_min,Time_hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
Time_sec,Time,Time_hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
10471,174.516666666667,2.9086111111111097,17591834,39003125,46621916,47262487,37850472,37280970,13304744,45985967,51539219,52214620,55311739,66323838,8809248,23604818,34501501,36155590,35599701,25425874,5154534,18760689,44416284,46941623,47584507,42570643,9353777,12812260,27077364,32888066,33421369,26127005,5053192,10058079,29031437,37565153,43488293,25892187,10347171,7896644,4096175,1716706,416858,0,4952877,2020428,751154,180695,42025,48,8281486,16834257,18366732,18760689,17977115,17591834,11700383,28045494,45669725,42267056,43488293,17783933,7035170,7155115,13806833,16093959,17210883,16647564,6451013,15550051,36716011,40469585,40174010,15015822,10202098,6451013,6916263,8675737,10347171,9915114,5570190,5464731,18563167,29782608,28783279,16277416,8943807,7035170,5256904,1546485,640523,48,2851896,1385251,676414,145182,33495,48
11371,189.516666666667,3.1586111111111097,18563167,40766303,50868479,51876337,42570643,41663319,13471039,49540959,57073358,57429205,59953104,77151043,9773201,26362931,39294135,40469585,39586286,28045494,5053192,19968653,50868479,53579425,53579425,40766303,10640484,15911580,31574494,37850472,39003125,29031437,5154534,12650230,35599701,45354636,50868479,28783279,11088376,8809248,5676679,2487814,713290,0,4658092,2084181,751154,199914,51523,0,8411857,17022029,18563167,18563167,17783933,17400817,12812260,29280711,50868479,47584507,48884170,17400817,7645301,7398126,14318544,16461950,17400817,16647564,6798395,16277416,41663319,45669725,46941623,15192824,11856035,7276101,7645301,9353777,11392261,10640484,5892751,6681564,22720738,37565153,36435233,15550051,10202098,8543274,7645301,2349244,999102,48,2851896,1437998,751154,162452,42025,48
12271,204.516666666667,3.4086111111111097,19561645,42875378,55661716,56718686,48232021,45669725,13976334,52554070,62534849,63283146,67095912,89762100,11088376,29031437,43796473,45040700,44105804,30799822,5053192,20795759,57073358,59953104,59953104,40174010,12012749,18959297,36435233,43488293,44727916,33689710,5256904,14491255,42267056,52894687,58144429,32888066,12329363,9915114,7276101,3655996,1136453,0,4279390,2020428,751154,220108,51523,0,8543274,17210883,18563167,18563167,17783933,17022029,14146904,30543840,55661716,53236472,55311739,17022029,8411857,7645301,14491255,16647564,17783933,16647564,7155115,17022029,46621916,52554070,54268839,15370900,13806833,8281486,8543274,10202098,12170524,11088376,6224605,8023880,26362931,45040700,44105804,15015822,11239789,10347171,10493300,3487054,1546485,48,2851896,1437998,829846,180695,42025,48
13171,219.516666666667,3.6586111111111097,20795759,43796473,61791292,66709279,56365188,51539219,14665038,54962934,71427739,71027951,74669292,101945631,12650230,31574494,48232021,49871095,49211984,33959179,5053192,21427561,63659073,66323838,66709279,40469585,13806833,22285291,41663319,49211984,50534854,37280970,5464731,16277416,49211984,60318378,65174660,36435233,12812260,11088376,8675737,4952877,1716706,0,4096175,2148939,790006,220108,51523,0,8809248,17210883,18563167,18563167,17400817,16647564,15550051,31315148,60684833,59226097,61421289,16461950,9353777,7896644,14839894,16834257,17977115,16647564,7521193,17977115,51203267,58864363,61791292,15370900,15911580,9353777,9353777,10788724,13139517,11392261,6565770,8943807,29280711,52554070,52214620,14318544,12012749,12170524,13471039,5053192,2281469,48,3004604,1546485,912493,199914,51523,48
14071,234.516666666667,3.9086111111111097,21854234,44727916,69440782,72634305,64793981,59226097,15730277,56365188,75904737,74669292,78829711,109860442,14318544,33959179,52554070,54268839,54962934,37280970,4952877,22285291,69440782,74669292,76318965,42570643,15192824,24734699,46621916,54962934,55661716,41663319,5570190,17783933,55661716,67483738,71427739,41363169,13638402,12812260,9915114,6451013,2558612,0,3917045,2214701,790006,241279,51523,48,8943807,17210883,18366732,18366732,17400817,16093959,17210883,32096551,65174660,64793981,67483738,16647564,10058079,8152161,15015822,16834257,17977115,16461950,7896644,18959297,54962934,65174660,68262971,15192824,17591834,10347171,10202098,11392261,13806833,11700383,6916263,9773201,32359265,59589010,59953104,13806833,13139517,13638402,16277416,7398126,3404108,48,3082477,1602226,999102,199914,51523,48
14971,249.516666666667,4.15861111111111,23160578,46303364,73038897,77568895,69835777,67872758,15550051,56718686,79676309,77987957,82677635,111889211,16093959,35877079,57429205,62908404,64036188,41663319,4952877,22720738,76734400,80527759,80955304,43488293,16277416,27317729,51876337,60318378,61421289,46621916,5676679,19561645,62534849,74669292,80955304,47907685,14665038,13139517,10938021,7896644,3655996,0,3655996,2349244,870675,263426,42025,48,9079414,17022029,18171381,18171381,17210883,15911580,18760689,33154155,70629361,71027951,74259887,15911580,10938021,8411857,15192824,16834257,17977115,16277416,8281486,19968653,58503807,70629361,75079901,15015822,19158991,11545792,11088376,12012749,14146904,11856035,7155115,10493300,35323455,66709279,67483738,13304744,13976334,14839894,18959297,10058079,4853590,48,3241263,1602226,1043893,220108,51523,48
15871,264.516666666667,4.40861111111111,24053463,47262487,77568895,81814038,74669292,73851687,16647564,57429205,83111259,81814038,87514577,114453454,18366732,37280970,64414490,67872758,69046982,48232021,4853590,23160578,81384063,85738596,86180758,45669725,17400817,29531101,57073358,67095912,71027951,53923547,5784199,21427561,69046982,83546100,86624141,56365188,15730277,14318544,12170524,9915114,5154534,0,3487054,2349244,912493,286550,42025,48,9216070,16834257,17783933,18171381,17022029,15550051,20587345,33959179,73851687,75904737,80955304,15550051,11856035,8675737,15015822,16647564,17977115,15911580,8543274,21215866,61421289,77987957,82245228,14839894,20587345,12975355,11856035,12329363,14318544,12329363,7521193,11392261,37850472,73851687,74259887,12489264,15015822,16461950,22069214,12812260,6681564,48,3404108,1602226,1089677,241279,51523,48
16771,279.516666666667,4.65861111111111,24963985,47584507,81814038,87068747,79676309,77987957,17400817,58144429,87961631,85738596,91125336,114970080,20587345,38424522,69835777,72634305,74259887,56012865,4755328,23382148,86180758,90215284,90669696,47262487,18760689,32359265,62534849,74669292,76734400,61791292,6002336,23382148,76734400,90669696,92499636,64414490,17022029,15192824,13471039,11856035,6916263,0,3404108,2281469,912493,286550,42025,48,9492534,16647564,17591834,17977115,17022029,15370900,22502465,34501501,77151043,80101427,85738596,15550051,13139517,8943807,14839894,16461950,17977115,15911580,8943807,22285291,65939588,83546100,89310143,14491255,22069214,14318544,12975355,12650230,14318544,12329363,7896644,12329363,40469585,81814038,81384063,11856035,16277416,17977115,24279438,15550051,9216070,48,3487054,1716706,1136453,263426,51523,48
17671,294.516666666667,4.90861111111111,25658477,48557516,86180758,91125336,84857938,82677635,18366732,58144429,91582206,90215284,95281493,118621795,22720738,39294135,75491716,77568895,79676309,63659073,4853590,23160578,90669696,96218652,95281493,49211984,20380023,34501501,71027951,80955304,83111259,71828727,6224605,25425874,83546100,96689085,98107810,68654379,17977115,16277416,14839894,13304744,8943807,0,3322178,2281469,912493,286550,42025,48,9632342,16461950,17400817,17783933,17210883,15370900,24506517,35048340,81814038,85297657,90669696,15192824,13806833,9216070,14839894,16461950,17783933,15730277,9492534,23382148,69835777,89310143,95281493,14318544,23828589,16093959,13976334,12975355,14318544,12489264,8281486,13638402,42875378,90669696,90215284,11392261,18366732,19359774,29531101,18760689,12170524,48,3571016,1716706,1232987,286550,61990,48
18571,309.516666666667,5.15861111111111,26127005,48232021,89762100,95281493,88859413,85297657,18760689,55661716,95749454,93421990,100016789,122871102,24053463,38713254,80101427,81814038,84419439,69835777,4755328,22720738,93421990,100016789,99059819,52214620,21427561,35599701,75904737,86180758,88409909,79252404,6337292,27077364,86624141,100978725,102430950,69835777,19764604,17591834,15730277,15015822,10938021,0,3241263,2349244,955302,286550,42025,48,9492534,16093959,17022029,17591834,17022029,15192824,25658477,35599701,83982160,88409909,94814766,15015822,13976334,9632342,14665038,16093959,17591834,15730277,9773201,23604818,72230916,93885015,99537684,14318544,24279438,17022029,14665038,12975355,14318544,12329363,8543274,14491255,43796473,95749454,94814766,10788724,19158991,20795759,29031437,22285291,16647564,48,3571016,1775447,1232987,310653,51523,48
