#--- Do not edit. Generated automatically from SndRcv ---
#Time_sec,Time_min,Time_hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
Time_sec,Time,Time_hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
10471,174.516666666667,2.9086111111111097,11726802,25999799,31078609,31505625,25231424,24851786,8869006,30654675,34356574,34806810,36871410,44212317,5872295,15735103,22998953,24101591,23731028,16949035,3436058,12505968,29608297,31291732,31720290,28377963,6235279,8540714,18049935,21923416,22278923,17416416,3368503,6704768,19352541,25041226,28989683,17259884,6897478,5263951,2730555,1144397,277905,0,3301633,1346859,500753,120472,28025,33,5520488,11221796,12243354,12505968,11983633,11726802,7799533,18695301,30443862,28175586,28989683,11854856,4689691,4769647,9203701,10728310,11472858,11097346,4300292,10365738,24475176,26977364,26780329,10009618,6800772,4300292,4610428,5783296,6897478,6609467,3713134,3642835,12374299,19853281,19187116,10850603,5961992,4689691,3504298,1030926,427005,33,1901117,923447,450930,96797,22338,33
11371,189.516666666667,3.1586111111111097,12374299,27175161,33909446,34581303,28377963,27773126,8979859,33024496,38045742,38282957,39965442,51430002,6514868,17573687,26193791,26977364,26388543,18695301,3368503,13311206,33909446,35716615,35716615,27175161,7093001,10606735,21047772,25231424,25999799,19352541,3436058,8432704,23731028,30233818,33909446,19187116,7391567,5872295,3784120,1658420,475512,0,3105129,1389357,500753,133284,34357,0,5607393,11346967,12374299,12374299,11854856,11599469,8540714,19518710,33909446,31720290,32586669,11599469,5096405,4931639,9544809,10973615,11599469,11097346,4531857,10850603,27773126,30443862,31291732,10127608,7903291,4850296,5096405,6235279,7594137,7093001,3928154,4453977,15145767,25041226,24288006,10365738,6800772,5694996,5096405,1566048,666037,33,1901117,958608,500753,108310,28025,33
12271,204.516666666667,3.4086111111111097,13039891,28581104,37104712,37809310,32151934,30443862,9316690,35033093,41686490,42185321,44727000,59836883,7391567,19352541,29195121,30024543,29401326,20531367,3368503,13862561,38045742,39965442,39965442,26780329,8007757,12638361,24288006,28989683,29816037,22457803,3504298,9659939,28175586,35260155,38759740,21923416,8218813,6609467,4850296,2437131,757597,0,2852686,1346859,500753,146746,34357,0,5694996,11472858,12374299,12374299,11854856,11346967,9430393,20360726,37104712,35487996,36871410,11346967,5607393,5096405,9659939,11097346,11854856,11097346,4769647,11346967,31078609,35033093,36176192,10246315,9203701,5520488,5694996,6800772,8112931,7391567,4149368,5348767,17573687,30024543,29401326,10009618,7492499,6897478,6994887,2324514,1030926,33,1901117,958608,553209,120472,28025,33
13171,219.516666666667,3.6586111111111097,13862561,29195121,41190818,44469261,37573661,34356574,9775784,36638890,47614701,47348192,49775601,67958798,8432704,21047772,32151934,33244571,32805196,22637434,3368503,14283724,42435923,44212317,44469261,26977364,9203701,14855495,27773126,32805196,33687046,24851786,3642835,10850603,32805196,40208941,43446248,24288006,8540714,7391567,5783296,3301633,1144397,0,2730555,1432524,526651,146746,34357,0,5872295,11472858,12374299,12374299,11599469,11097346,10365738,20874890,40453228,39480803,40944166,10973615,6235279,5263951,9892343,11221796,11983633,11097346,5013675,11983633,34132622,39239663,41190818,10246315,10606735,6235279,6235279,7191818,8758865,7594137,4376789,5961992,19518710,35033093,34806810,9544809,8007757,8112931,8979859,3368503,1520870,33,2002912,1030926,608303,133284,34357,33
14071,234.516666666667,3.9086111111111097,14568148,29816037,46290146,48419028,43192479,39480803,10485878,37573661,50599181,49775601,52549046,73235071,9544809,22637434,35033093,36176192,36638890,24851786,3301633,14855495,46290146,49775601,50875316,28377963,10127608,16488291,31078609,36638890,37104712,27773126,3713134,11854856,37104712,44985534,47614701,27573041,9091424,8540714,6609467,4300292,1705613,0,2611147,1476362,526651,160859,34357,33,5961992,11472858,12243354,12243354,11599469,10728310,11472858,21395783,43446248,43192479,44985534,11097346,6704768,5434279,10009618,11221796,11983633,10973615,5263951,12638361,36638890,43446248,45504989,10127608,11726802,6897478,6800772,7594137,9203701,7799533,4610428,6514868,21570911,39722729,39965442,9203701,8758865,9091424,10850603,4931639,2269222,33,2054822,1068083,666037,133284,34357,33
14971,249.516666666667,4.15861111111111,15438968,30866257,48688739,51708553,46553460,45244864,10365738,37809310,53113411,51987910,55114177,74587517,10728310,23915932,38282957,41935510,42687317,27773126,3301633,15145767,51152256,53681010,53966023,28989683,10850603,18210165,34581303,40208941,40944166,31078609,3784120,13039891,41686490,49775601,53966023,31935726,9775784,8758865,7291340,5263951,2437131,0,2437131,1566048,580426,175623,28025,33,6052388,11346967,12113132,12113132,11472858,10606735,12505968,22100794,47082482,47348192,49502682,10606735,7291340,5607393,10127608,11221796,11983633,10850603,5520488,13311206,38999309,47082482,50049324,10009618,12771479,7696482,7391567,8007757,9430393,7903291,4769647,6994887,23546878,44469261,44985534,8869006,9316690,9892343,12638361,6704768,3235448,33,2160670,1068083,695895,146746,34357,33
15871,264.516666666667,4.40861111111111,16034173,31505625,51708553,54538479,49775601,49230565,11097346,38282957,55403242,54538479,58338619,76296929,12243354,24851786,42939501,45244864,46027630,32151934,3235448,15438968,54251846,57154699,57449456,30443862,11599469,19685623,38045742,44727000,47348192,35946014,3855793,14283724,46027630,55693120,57745029,37573661,10485878,9544809,8112931,6609467,3436058,0,2324514,1566048,608303,191039,28025,33,6143483,11221796,11854856,12113132,11346967,10365738,13723630,22637434,49230565,50599181,53966023,10365738,7903291,5783296,10009618,11097346,11983633,10606735,5694996,14142607,40944166,51987910,54825922,9892343,13723630,8649434,7903291,8218813,9544809,8218813,5013675,7594137,25231424,49230565,49502682,8325404,10009618,10973615,14711456,8540714,4453977,33,2269222,1068083,726415,160859,34357,33
16771,279.516666666667,4.65861111111111,16641136,31720290,54538479,58041416,53113411,51987910,11599469,38759740,58636638,57154699,60745656,76641330,13723630,25614094,46553460,48419028,49502682,37338795,3169947,15586669,57449456,60138988,60441913,31505625,12505968,21570911,41686490,49775601,51152256,41190818,4001203,15586669,51152256,60441913,61661805,42939501,11346967,10127608,8979859,7903291,4610428,0,2269222,1520870,608303,191039,28025,33,6327774,11097346,11726802,11983633,11346967,10246315,15000265,22998953,51430002,53396806,57154699,10365738,8758865,5961992,9892343,10973615,11983633,10606735,5961992,14855495,43956167,55693120,59535595,9659939,14711456,9544809,8649434,8432704,9544809,8218813,5263951,8218813,26977364,54538479,54251846,7903291,10850603,11983633,16184810,10365738,6143483,33,2324514,1144397,757597,175623,34357,33
17671,294.516666666667,4.90861111111111,17104091,32368915,57449456,60745656,56567627,55114177,12243354,38759740,61050219,60138988,63516275,79075691,15145767,26193791,50323851,51708553,53113411,42435923,3235448,15438968,60441913,64141014,63516275,32805196,13585428,22998953,47348192,53966023,55403242,47882009,4149368,16949035,55693120,64454619,65400385,45765911,11983633,10850603,9892343,8869006,5961992,0,2214607,1520870,608303,191039,28025,33,6420971,10973615,11599469,11854856,11472858,10246315,16336183,23363483,54538479,56860756,60441913,10127608,9203701,6143483,9892343,10973615,11854856,10485878,6327774,15586669,46553460,59535595,63516275,9544809,15884271,10728310,9316690,8649434,9544809,8325404,5520488,9091424,28581104,60441913,60138988,7594137,12243354,12905322,19685623,12505968,8112931,33,2380484,1144397,821947,191039,41336,33
18571,309.516666666667,5.15861111111111,17416416,32151934,59836883,63516275,59235125,56860756,12505968,37104712,63828233,62276674,66672971,81908432,16034173,25806567,53396806,54538479,56275312,46553460,3169947,15145767,62276674,66672971,66035025,34806810,14283724,23731028,50599181,57449456,58935473,52830824,4224485,18049935,57745029,67314228,68282327,46553460,13175185,11726802,10485878,10009618,7291340,0,2160670,1566048,636840,191039,28025,33,6327774,10728310,11346967,11726802,11346967,10127608,17104091,23731028,55983810,58935473,63205141,10009618,9316690,6420971,9775784,10728310,11726802,10485878,6514868,15735103,48150118,62585341,66353584,9544809,16184810,11346967,9775784,8649434,9544809,8218813,5694996,9659939,29195121,63828233,63205141,7191818,12771479,13862561,19352541,14855495,11097346,33,2380484,1183553,821947,207106,34357,33
