#--- Do not edit. Generated automatically from fig10 ---
#Time_sec,Time_min,Time_hr,A1: K-,sOD=0.25, sϕ=0,A2: K-,sOD=0.25, sϕ=3^-1,A3: K-,sOD=0.25, sϕ=3^-2,A4: K-,sOD=0.25, sϕ=3^-3,A5: K-,sOD=0.25, sϕ=0,A6: K-,sOD=0.25, sϕ=3^-1,A7: K-,sOD=0.25, sϕ=3^-2,A8: K-,sOD=0.25, sϕ=3^-3,A9: K-,sOD=0.25, sϕ=0,A10: K-,sOD=0.25, sϕ=3^-1,A11: K-,sOD=0.25, sϕ=3^-2,A12: K-,sOD=0.25, sϕ=3^-3,B1: K-,sOD=0.125, sϕ=0,B2: K-,sOD=0.125, sϕ=3^-1,B3: K-,sOD=0.125, sϕ=3^-2,B4: K-,sOD=0.125, sϕ=3^-3,B5: K-,sOD=0.125, sϕ=0,B6: K-,sOD=0.125, sϕ=3^-1,B7: K-,sOD=0.125, sϕ=3^-2,B8: K-,sOD=0.125, sϕ=3^-3,B9: K-,sOD=0.125, sϕ=0,B10: K-,sOD=0.125, sϕ=3^-1,B11: K-,sOD=0.125, sϕ=3^-2,B12: K-,sOD=0.125, sϕ=3^-3,C1: K-,sOD=0.0625, sϕ=0,C2: K-,sOD=0.0625, sϕ=3^-1,C3: K-,sOD=0.0625, sϕ=3^-2,C4: K-,sOD=0.0625, sϕ=3^-3,C5: K-,sOD=0.0625, sϕ=0,C6: K-,sOD=0.0625, sϕ=3^-1,C7: K-,sOD=0.0625, sϕ=3^-2,C8: K-,sOD=0.0625, sϕ=3^-3,C9: K-,sOD=0.0625, sϕ=0,C10: K-,sOD=0.0625, sϕ=3^-1,C11: K-,sOD=0.0625, sϕ=3^-2,C12: K-,sOD=0.0625, sϕ=3^-3,D1: K-,sOD=0.03125, sϕ=0,D2: K-,sOD=0.03125, sϕ=3^-1,D3: K-,sOD=0.03125, sϕ=3^-2,D4: K-,sOD=0.03125, sϕ=3^-3,D5: K-,sOD=0.03125, sϕ=0,D6: K-,sOD=0.03125, sϕ=3^-1,D7: K-,sOD=0.03125, sϕ=3^-2,D8: K-,sOD=0.03125, sϕ=3^-3,D9: K-,sOD=0.03125, sϕ=0,D10: K-,sOD=0.03125, sϕ=3^-1,D11: K-,sOD=0.03125, sϕ=3^-2,D12: K-,sOD=0.03125, sϕ=3^-3,E1: K+,sOD=0.25, sϕ=0,E2: K+,sOD=0.25, sϕ=3^-1,E3: K+,sOD=0.25, sϕ=3^-,E4: K+,sOD=0.25, sϕ=3^-3,E5: K+,sOD=0.25, sϕ=0,E6: K+,sOD=0.25, sϕ=3^-1,E7: K+,sOD=0.25, sϕ=3^-2,E8: K+,sOD=0.25, sϕ=3^-3,E9: K+,sOD=0.25, sϕ=0,E10: K+,sOD=0.25, sϕ=3^-1,E11: K+,sOD=0.25, sϕ=3^-2,E12: K+,sOD=0.25, sϕ=3^-3,F1: K+,sOD=0.125, sϕ=0,F2: K+,sOD=0.125, sϕ=3^-1,F3: K+,sOD=0.125, sϕ=3^-2,F4: K+,sOD=0.125, sϕ=3^-3,F5: K+,sOD=0.125, sϕ=0,F6: K+,sOD=0.125, sϕ=3^-1,F7: K+,sOD=0.125, sϕ=3^-2,F8: K+,sOD=0.125, sϕ=3^-3,F9: K+,sOD=0.125, sϕ=0,F10: K+,sOD=0.125, sϕ=3^-1,F11: K+,sOD=0.125, sϕ=3^-2,F12: K+,sOD=0.125, sϕ=3^-3,G1: K+,sOD=0.0625, sϕ=0,G2: K+,sOD=0.0625, sϕ=3^-1,G3: K+,sOD=0.0625, sϕ=3^-2,G4: K+,sOD=0.0625, sϕ=3^-3,G5: K+,sOD=0.0625, sϕ=0,G6: K+,sOD=0.0625, sϕ=3^-1,G7: K+,sOD=0.0625, sϕ=3^-2,G8: K+,sOD=0.0625, sϕ=3^-3,G9: K+,sOD=0.0625, sϕ=0,G10: K+,sOD=0.0625, sϕ=3^-1,G11: K+,sOD=0.0625, sϕ=3^-2,G12: K+,sOD=0.0625, sϕ=3^-3,H1: K+,sOD=0.03125, sϕ=0,H2: K+,sOD=0.03125, sϕ=3^-1,H3: K+,sOD=0.03125, sϕ=3^-2,H4: K+,sOD=0.03125, sϕ=3^-3,H5: K+,sOD=0.03125, sϕ=0,H6: K+,sOD=0.03125, sϕ=3^-1,H7: K+,sOD=0.03125, sϕ=3^-2,H8: K+,sOD=0.03125, sϕ=3^-3,H9: K+,sOD=0.03125, sϕ=0,H10: K+,sOD=0.03125, sϕ=3^-1,H11: K+,sOD=0.03125, sϕ=3^-2,H12: K+,sOD=0.03125, sϕ=3^-3
Time_sec,Time,Time_hr,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
9860,164.333333333333,2.73888888888888,18304711,22384148,20632123,22027745,23105973,24398179,18954811,22743556,22027745,20803956,22924388,16122565,15673750,18304711,18628277,20121104,19784154,19784154,16731281,17666469,18954811,21149866,18304711,21674345,17195553,17040058,17040058,16885301,19616798,19119192,17040058,17508758,17508758,17351786,18304711,17351786,13805059,15673750,13119159,13254885,14225336,16577998,17195553,15525613,14652180,17040058,20803956,14084515,4499278,4897636,5571106,6196986,4577565,4816578,5746437,6014669,4577565,4736214,5571106,4979387,808178,713477,713477,744382,775949,683234,1089917,841071,1052372,775949,1052372,713477,115247,103359,140972,154811,140972,103359,127784,140972,140972,115247,200235,127784,15353,15353,11229,20122,53650,15353,11229,15353,15353,25536,20122,25536
10760,179.333333333333,2.98888888888888,19952256,24963314,22924388,24025203,25535266,27292136,21149866,25535266,25153207,23839848,26308492,18144040,16577998,19784154,19450185,21323943,20803956,21498769,17984109,18791173,20461036,22563476,19450185,23288311,17824919,18954811,17824919,18304711,21498769,20803956,18791173,19119192,18628277,18791173,20121104,17984109,14795922,17984109,14366887,14652180,15378210,18466123,18628277,17351786,15673750,18304711,23471403,15525613,4344779,4736214,5398564,6014669,4344779,4656543,5571106,5835149,4344779,4577565,5398564,4816578,744382,683234,653653,683234,713477,653653,1015493,775949,1015493,744382,979279,653653,103359,92120,115247,127784,115247,92120,115247,127784,127784,103359,184442,115247,11229,11229,7749,15353,25536,15353,7749,11229,15353,20122,15353,25536
11660,194.333333333333,3.23888888888888,22384148,28294842,25535266,27292136,28497676,30779433,23471403,28497676,28294842,26699665,28905639,20461036,17351786,20976537,20461036,22924388,21850670,22924388,19119192,19952256,22924388,24963314,21498769,25343857,19119192,19784154,18954811,19616798,22924388,22743556,20121104,20632123,19616798,19952256,22027745,19284317,15378210,19450185,15525613,15378210,16885301,20632123,20290697,18791173,17040058,20121104,26308492,16731281,4118210,4577565,5144972,5835149,4193043,4421683,5313338,5658422,4193043,4421683,5228807,4656543,683234,624732,596472,624732,653653,596472,943730,744382,943730,683234,908846,596472,92120,71589,103359,103359,103359,81530,92120,115247,115247,92120,169301,92120,11229,7749,4913,15353,15353,11229,7749,11229,11229,20122,15353,20122
12560,209.333333333333,3.48888888888888,24963314,30357657,28092773,30357657,31417872,33374871,24963314,31417872,30991476,28497676,30991476,22384148,18791173,22563476,22205571,25535266,23288311,24774179,20803956,21498769,25535266,26896394,23288311,28294842,19952256,21323943,20632123,21323943,25153207,24398179,21674345,22205571,21498769,21850670,24211313,20976537,16885301,21674345,16122565,15972226,18466123,22563476,21850670,20461036,18304711,21323943,28905639,18304711,3897847,4421683,4897636,5571106,3970613,4268566,5061832,5398564,4044067,4268566,4979387,4421683,624732,596472,541931,568871,596472,541931,874626,683234,874626,653653,841071,541931,81530,71589,92120,92120,103359,81530,81530,103359,103359,92120,154811,81530,7749,7749,4913,11229,11229,11229,4913,7749,7749,15353,11229,15353
13460,224.333333333333,3.73888888888888,27690928,32063250,30357657,32497363,34264777,35852028,26699665,33154333,32715579,29730759,33374871,24398179,20461036,24774179,23839848,27891469,25343857,27891469,23471403,23655248,28905639,29938957,25343857,32279920,21323943,23105973,22205571,22924388,26896394,26699665,23105973,24398179,22924388,24025203,25920360,23471403,17824919,23288311,17824919,17508758,19616798,24585801,23471403,22384148,19616798,23105973,30147923,20632123,3754380,4193043,4736214,5313338,3825770,4044067,4897636,5228807,3897847,4118210,4816578,4344779,568871,568871,515649,541931,568871,541931,841071,624732,808178,624732,808178,490026,71589,62296,81530,81530,92120,71589,81530,92120,103359,81530,140972,81530,7749,7749,4913,11229,7749,11229,4913,7749,7749,15353,11229,15353
14360,239.333333333333,3.98888888888888,29110769,33818273,32063250,34041137,35394636,37712813,27292136,34714388,34041137,30779433,34714388,26114046,22563476,27292136,25920360,30568161,27491150,30991476,25920360,26308492,31632227,31632227,27891469,35167109,22924388,24963314,24963314,24774179,29316665,29110769,25343857,26896394,24963314,25920360,29316665,26114046,18628277,25727433,19119192,18628277,20632123,26896394,24963314,24211313,20976537,25153207,33596184,22924388,3613662,4044067,4499278,5061832,3613662,3897847,4656543,4979387,3683678,3970613,4577565,4044067,515649,541931,490026,490026,515649,515649,775949,568871,744382,596472,744382,440755,62296,62296,71589,71589,81530,62296,71589,81530,92120,71589,127784,71589,4913,4913,2720,7749,7749,7749,2720,4913,7749,15353,7749,11229
15260,254.333333333333,4.23888888888888,30568161,35394636,33818273,35852028,36312538,39866108,29110769,36312538,34940359,31847353,37242928,28294842,24963314,30147923,29316665,33596184,29938957,34940359,28701275,28701275,34041137,33154333,30357657,37477479,25727433,27891469,26699665,27690928,32715579,32934569,28497676,28905639,27891469,28497676,32497363,30357657,20632123,28701275,20461036,19952256,22563476,29730759,26896394,26503698,22563476,27891469,36776170,25343857,3407733,3897847,4268566,4897636,3407733,3754380,4499278,4736214,3544333,3897847,4421683,3897847,465062,568871,465062,440755,465062,541931,744382,541931,683234,596472,713477,417106,53650,53650,71589,71589,71589,62296,62296,81530,81530,62296,115247,62296,4913,4913,2720,7749,4913,7749,2720,4913,4913,11229,7749,11229
16160,269.33333333333303,4.48888888888888,31847353,36312538,35394636,37242928,37712813,41584940,30147923,38185831,36776170,33596184,38901238,30568161,26896394,32279920,31204289,34940359,31204289,36543964,30568161,30357657,35622943,34940359,31632227,39141277,27690928,30991476,29316665,31417872,37712813,36543964,31632227,32279920,31632227,31417872,35167109,32934569,21850670,32279920,22205571,22027745,24774179,32715579,29316665,29523328,24963314,30779433,41584940,27690928,3273874,3897847,4118210,4656543,3273874,3683678,4344779,4577565,3407733,3825770,4268566,3754380,440755,624732,440755,417106,417106,568871,713477,490026,653653,624732,683234,394114,45652,62296,71589,53650,62296,53650,62296,71589,71589,62296,115247,53650,2720,4913,1170,7749,4913,7749,2720,4913,4913,11229,7749,7749
17060,284.33333333333303,4.73888888888888,34041137,38185831,37009158,38901238,38661984,45138857,31847353,39623711,37948931,35167109,41833643,32934569,28294842,33154333,33154333,37242928,32063250,38423516,32934569,31847353,37242928,36543964,33154333,41584940,30568161,33596184,32063250,33374871,41584940,39866108,34489194,35167109,33154333,33596184,36776170,35852028,24211313,35622943,24211313,23655248,27491150,36081893,32063250,32934569,27690928,34489194,45659265,30357657,3078217,3825770,3970613,4499278,3142752,3683678,4193043,4421683,3340461,3825770,4118210,3613662,394114,744382,465062,394114,394114,683234,744382,490026,596472,744382,713477,350099,45652,62296,62296,62296,62296,62296,53650,71589,71589,62296,115247,53650,2720,4913,1170,7749,4913,25536,1170,2720,4913,11229,7749,7749
17960,299.33333333333303,4.98888888888888,36081893,39382101,39382101,40598020,41089902,48040586,33374871,42836363,40598020,37712813,44879846,35394636,30357657,34714388,33818273,38185831,33374871,40353262,33818273,33374871,39141277,39382101,34264777,44364212,31632227,35394636,33818273,34940359,42836363,42333421,36081893,37009158,35167109,35622943,38423516,37948931,26308492,39141277,26699665,26308492,30568161,39866108,35622943,35852028,30357657,37477479,49391540,33154333,2888708,3825770,3897847,4344779,3014365,3613662,4118210,4268566,3207971,3825770,4044067,3475691,350099,979279,490026,371778,350099,808178,775949,465062,541931,874626,744382,350099,38300,81530,71589,81530,53650,62296,53650,62296,62296,71589,115247,53650,2720,4913,1170,4913,4913,62296,1170,2720,4913,11229,4913,7749
