#--- Do not edit. Generated automatically from fig9i ---
#Time_sec,Time_min,Time_hr,A1: K-,pOD=0.25, sϕ=0,A2: K-,pOD=0.25, sϕ=3^-1,A3: K-,pOD=0.25, sϕ=3^-2,A4: K-,pOD=0.25, sϕ=3^-3,A5: K-,pOD=0.25, sϕ=0,A6: K-,pOD=0.25, sϕ=3^-1,A7: K-,pOD=0.25, sϕ=3^-2,A8: K-,pOD=0.25, sϕ=3^-3,A9: K-,pOD=0.25, sϕ=0,A10: K-,pOD=0.25, sϕ=3^-1,A11: K-,pOD=0.25, sϕ=3^-2,A12: K-,pOD=0.25, sϕ=3^-3,B1: K-,pOD=0.125, sϕ=0,B2: K-,pOD=0.125, sϕ=3^-1,B3: K-,pOD=0.125, sϕ=3^-2,B4: K-,pOD=0.125, sϕ=3^-3,B5: K-,pOD=0.125, sϕ=0,B6: K-,pOD=0.125, sϕ=3^-1,B7: K-,pOD=0.125, sϕ=3^-2,B8: K-,pOD=0.125, sϕ=3^-3,B9: K-,pOD=0.125, sϕ=0,B10: K-,pOD=0.125, sϕ=3^-1,B11: K-,pOD=0.125, sϕ=3^-2,B12: K-,pOD=0.125, sϕ=3^-3,C1: K-,pOD=0.0625, sϕ=0,C2: K-,pOD=0.0625, sϕ=3^-1,C3: K-,pOD=0.0625, sϕ=3^-2,C4: K-,pOD=0.0625, sϕ=3^-3,C5: K-,pOD=0.0625, sϕ=0,C6: K-,pOD=0.0625, sϕ=3^-1,C7: K-,pOD=0.0625, sϕ=3^-2,C8: K-,pOD=0.0625, sϕ=3^-3,C9: K-,pOD=0.0625, sϕ=0,C10: K-,pOD=0.0625, sϕ=3^-1,C11: K-,pOD=0.0625, sϕ=3^-2,C12: K-,pOD=0.0625, sϕ=3^-3,D1: K-,pOD=0.03125, sϕ=0,D2: K-,pOD=0.03125, sϕ=3^-1,D3: K-,pOD=0.03125, sϕ=3^-2,D4: K-,pOD=0.03125, sϕ=3^-3,D5: K-,pOD=0.03125, sϕ=0,D6: K-,pOD=0.03125, sϕ=3^-1,D7: K-,pOD=0.03125, sϕ=3^-2,D8: K-,pOD=0.03125, sϕ=3^-3,D9: K-,pOD=0.03125, sϕ=0,D10: K-,pOD=0.03125, sϕ=3^-1,D11: K-,pOD=0.03125, sϕ=3^-2,D12: K-,pOD=0.03125, sϕ=3^-3,E1: K+,pOD=0.25, sϕ=0,E2: K+,pOD=0.25, sϕ=3^-1,E3: K+,pOD=0.25, sϕ=3^-2,E4: K+,pOD=0.25, sϕ=3^-3,E5: K+,pOD=0.25, sϕ=0,E6: K+,pOD=0.25, sϕ=3^-1,E7: K+,pOD=0.25, sϕ=3^-2,E8: K+,pOD=0.25, sϕ=3^-3,E9: K+,pOD=0.25, sϕ=0,E10: K+,pOD=0.25, sϕ=3^-1,E11: K+,pOD=0.25, sϕ=3^-2,E12: K+,pOD=0.25, sϕ=3^-3,F1: K+,pOD=0.125, sϕ=0,F2: K+,pOD=0.125, sϕ=3^-1,F3: K+,pOD=0.125, sϕ=3^-2,F4: K+,pOD=0.125, sϕ=3^-3,F5: K+,pOD=0.125, sϕ=0,F6: K+,pOD=0.125, sϕ=3^-1,F7: K+,pOD=0.125, sϕ=3^-2,F8: K+,pOD=0.125, sϕ=3^-3,F9: K+,pOD=0.125, sϕ=0,F10: K+,pOD=0.125, sϕ=3^-1,F11: K+,pOD=0.125, sϕ=3^-2,F12: K+,pOD=0.125, sϕ=3^-3,G1: K+,pOD=0.0625, sϕ=0,G2: K+,pOD=0.0625, sϕ=3^-1,G3: K+,pOD=0.0625, sϕ=3^-2,G4: K+,pOD=0.0625, sϕ=3^-3,G5: K+,pOD=0.0625, sϕ=0,G6: K+,pOD=0.0625, sϕ=3^-1,G7: K+,pOD=0.0625, sϕ=3^-2,G8: K+,pOD=0.0625, sϕ=3^-3,G9: K+,pOD=0.0625, sϕ=0,G10: K+,pOD=0.0625, sϕ=3^-1,G11: K+,pOD=0.0625, sϕ=3^-2,G12: K+,pOD=0.0625, sϕ=3^-3,H1: K+,pOD=0.03125, sϕ=0,H2: K+,pOD=0.03125, sϕ=3^-1,H3: K+,pOD=0.03125, sϕ=3^-2,H4: K+,pOD=0.03125, sϕ=3^-3,H5: K+,pOD=0.03125, sϕ=0,H6: K+,pOD=0.03125, sϕ=3^-1,H7: K+,pOD=0.03125, sϕ=3^-2,H8: K+,pOD=0.03125, sϕ=3^-3,H9: K+,pOD=0.03125, sϕ=0,H10: K+,pOD=0.03125, sϕ=3^-1,H11: K+,pOD=0.03125, sϕ=3^-2,H12: K+,pOD=0.03125, sϕ=3^-3,Sampling time indicator
Time_sec,Time,Time_hr,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,Sampling time indicator
12326,205.43333333333302,3.4238888888888903,24774179,25343857,26896394,20461036,19952256,24585801,20461036,24774179,22743556,22205571,21498769,22205571,21149866,21850670,19616798,41833643,20803956,19450185,23839848,23471403,22205571,23655248,24963314,23655248,18954811,14509168,18144040,16577998,15673750,17508758,19450185,20121104,18954811,22924388,20803956,18628277,17984109,12059459,15231539,18466123,13391337,14084515,14509168,16273640,19284317,18144040,16577998,15972226,5313338,5571106,5746437,5746437,5571106,5313338,5658422,5061832,5571106,5484487,5398564,4499278,3970613,4044067,3897847,4577565,3897847,4193043,4118210,3754380,3970613,4193043,4118210,3544333,908846,1015493,841071,874626,943730,943730,808178,979279,1206554,1329200,1246768,596472,140972,169301,140972,115247,127784,140972,154811,184442,127784,308707,127784,127784,45652
13226,220.43333333333302,3.6738888888888903,26699665,27093884,28497676,21850670,21149866,27292136,21674345,25920360,23839848,23839848,23105973,23655248,23655248,24585801,21850670,48578563,22563476,22027745,26503698,26308492,25153207,26114046,28497676,27093884,20976537,15972226,19284317,17666469,16731281,19119192,21498769,22205571,20632123,25535266,22924388,21674345,20803956,13119159,16577998,19616798,14652180,15525613,15673750,18466123,21850670,19952256,18304711,17508758,5144972,5398564,5484487,5571106,5398564,5228807,5484487,4897636,5398564,5313338,5144972,4268566,3754380,3970613,3754380,4344779,3754380,4118210,3970613,3613662,3825770,4118210,3897847,3340461,808178,1089917,808178,808178,874626,979279,744382,908846,1167008,1329200,1167008,541931,127784,184442,127784,115247,103359,140972,140972,169301,115247,308707,115247,127784,45652
14126,235.43333333333302,3.9238888888888903,28294842,28905639,29938957,23288311,22743556,28905639,23288311,27491150,25343857,25153207,24774179,25343857,26503698,26896394,24211313,52434348,24963314,24963314,29110769,28905639,27292136,28701275,29938957,29938957,23288311,17508758,20803956,19119192,18144040,21323943,24211313,24585801,22924388,28497676,25153207,24585801,23105973,14366887,18144040,20976537,15972226,17195553,17195553,20121104,23839848,21498769,20121104,19284317,4816578,5228807,5313338,5398564,5228807,5061832,5313338,4736214,5228807,5228807,4979387,4044067,3613662,3897847,3613662,4118210,3613662,4044067,3825770,3475691,3613662,4044067,3825770,3207971,744382,1206554,808178,775949,808178,1052372,713477,874626,1089917,1414308,1167008,515649,115247,200235,127784,103359,103359,140972,140972,154811,103359,308707,115247,115247,45652
15026,250.43333333333302,4.17388888888889,29938957,30779433,31847353,24398179,23839848,30357657,24963314,28701275,26699665,26699665,26308492,27093884,28092773,29316665,25727433,57624467,26896394,26896394,31632227,30779433,29730759,30147923,32279920,32279920,25727433,19616798,22563476,20632123,20121104,23105973,26308492,27093884,25343857,31417872,28092773,27491150,25727433,15673750,19952256,22563476,17666469,18628277,18304711,22205571,26699665,22743556,22743556,21674345,4656543,5061832,5144972,5144972,5061832,4816578,5228807,4577565,5061832,5061832,4736214,3825770,3475691,3897847,3475691,3897847,3475691,4044067,3683678,3407733,3544333,3970613,3754380,3078217,683234,1457866,874626,744382,744382,1167008,713477,841071,1015493,1546995,1206554,490026,103359,269934,140972,103359,92120,169301,140972,140972,92120,350099,115247,103359,45652
15926,265.433333333333,4.423888888888889,31632227,32934569,33596184,26503698,25343857,32715579,26699665,30779433,28497676,29110769,28497676,29730759,29730759,31632227,27093884,61536972,28497676,28905639,33154333,33154333,31632227,32279920,34264777,35167109,28497676,22027745,24211313,23105973,22563476,25535266,28905639,30147923,27292136,34714388,30991476,30568161,27891469,17195553,21850670,24398179,19450185,21323943,20461036,26699665,31204289,25153207,26308492,25153207,4421683,4897636,4979387,4979387,4816578,4656543,5061832,4421683,4897636,4897636,4656543,3683678,3273874,3897847,3407733,3613662,3340461,3970613,3544333,3273874,3340461,4044067,3683678,3014365,653653,1781568,979279,713477,683234,1371419,744382,808178,943730,1781568,1287649,490026,92120,394114,154811,103359,81530,216680,140972,140972,92120,440755,115247,103359,103359
18549,309.15,5.1525,36312538,37712813,38185831,29523328,29938957,35622943,29938957,36081893,32934569,33154333,32934569,32934569,33374871,32934569,28497676,70765992,32279920,33154333,83921193,37009158,34489194,36312538,39382101,39623711,30991476,23655248,25727433,26114046,25535266,28497676,32497363,32497363,29938957,37009158,35394636,33818273,32063250,19119192,23655248,27292136,21850670,23655248,23471403,28497676,33596184,28092773,28701275,27491150,4268566,4816578,5746437,4656543,4577565,4499278,4656543,4118210,4736214,4736214,4577565,3683678,2645571,4118210,3613662,3475691,3142752,4421683,3407733,3273874,3273874,4421683,3683678,2705334,515649,3078217,1457866,744382,653653,2246250,1052372,874626,808178,2645571,1733308,596472,71589,979279,233778,92120,62296,417106,115247,81530,62296,596472,169301,103359,103359
19449,324.15,5.4025,38661984,40109291,40598020,31204289,30991476,37712813,32497363,37712813,33596184,34489194,33818273,33818273,35852028,36312538,30779433,82120692,36543964,38661984,85011681,42333421,39623711,44107587,45659265,44364212,34714388,25153207,27292136,28497676,27891469,30357657,36081893,36081893,32063250,40843567,41089902,37712813,34940359,20976537,25535266,29316665,24211313,25727433,26114046,32279920,35167109,30779433,34041137,30779433,4193043,4897636,5746437,4499278,4499278,4499278,4577565,3970613,4577565,4656543,4499278,3613662,2645571,4421683,3613662,3407733,3078217,4656543,3407733,3207971,3142752,4736214,3754380,2826902,515649,4736214,1981342,841071,596472,3078217,1287649,943730,744382,3544333,2138259,683234,62296,1930387,394114,115247,62296,775949,154811,81530,53650,1052372,251530,127784,45652
20349,339.15,5.6525,41337026,43596718,43089022,33374871,34041137,40109291,35852028,41833643,37712813,37948931,38901238,37477479,37242928,38423516,33596184,90957170,37712813,39866108,56448374,44107587,42333421,44879846,49664138,49391540,37948931,27292136,28905639,29730759,29730759,32934569,41337026,38661984,34940359,43851755,43596718,42333421,40109291,23105973,27093884,31417872,26503698,27891469,29110769,35167109,36776170,33374871,36081893,33154333,4044067,4897636,6105478,4421683,4421683,4499278,4577565,3897847,4499278,4656543,4499278,3544333,2586489,5061832,3683678,3340461,2951195,5061832,3475691,3142752,3078217,5313338,3897847,2888708,490026,6760756,2528086,979279,568871,4577565,1685722,1167008,713477,5144972,2705334,874626,62296,3475691,683234,154811,62296,1502095,216680,103359,53650,1830500,417106,169301,45652
21249,354.15,5.9025,45398662,47239623,45920664,34714388,34714388,41833643,38661984,43596718,39623711,39623711,40598020,41337026,40109291,40598020,36312538,101087460,39382101,42584496,51873861,46709644,45398662,48578563,53281136,53281136,42333421,28905639,30357657,31417872,32497363,35852028,45920664,41833643,37712813,47239623,47505811,45398662,44621632,25153207,28294842,32715579,28905639,30357657,32715579,38901238,39382101,36543964,40353262,35852028,3970613,4979387,6289195,4344779,4268566,4499278,4499278,3825770,4421683,4656543,4344779,3407733,2470362,5658422,3897847,3340461,2826902,5746437,3613662,3207971,3014365,6105478,4193043,3014365,465062,9497273,3407733,1167008,541931,6665040,2246250,1371419,683234,7551817,3475691,1128129,53650,5398564,1206554,216680,53650,2826902,371778,140972,45652,3273874,713477,251530,45652
22149,369.15,6.1525,49119746,50486749,48040586,37009158,36776170,43596718,43089022,46445853,42083137,43089022,45138857,45398662,41833643,42333421,38185831,110117467,42584496,46182860,90579165,50211741,47772798,52998065,57034792,58217402,46974234,31204289,32063250,34041137,35622943,38661984,50486749,44364212,41584940,51316600,52998065,51039178,49391540,26699665,30357657,35394636,31204289,34489194,37009158,43596718,42333421,40109291,44364212,40598020,3825770,5144972,6289195,4268566,4118210,4577565,4499278,3754380,4268566,4736214,4344779,3273874,2356950,6760756,4118210,3340461,2765778,6760756,3825770,3273874,2888708,7249884,4577565,3142752,440755,12451414,4816578,1414308,515649,9383148,3142752,1733308,653653,10197031,4736214,1457866,53650,8281060,2191916,350099,53650,4736214,653653,216680,45652,5228807,1287649,417106,45652
