#--- Do not edit. Generated automatically from fig9i ---
#Time_sec,Time_min,Time_hr,A1: K-,pOD=0.25, sϕ=0,A2: K-,pOD=0.25, sϕ=3^-1,A3: K-,pOD=0.25, sϕ=3^-2,A4: K-,pOD=0.25, sϕ=3^-3,A5: K-,pOD=0.25, sϕ=0,A6: K-,pOD=0.25, sϕ=3^-1,A7: K-,pOD=0.25, sϕ=3^-2,A8: K-,pOD=0.25, sϕ=3^-3,A9: K-,pOD=0.25, sϕ=0,A10: K-,pOD=0.25, sϕ=3^-1,A11: K-,pOD=0.25, sϕ=3^-2,A12: K-,pOD=0.25, sϕ=3^-3,B1: K-,pOD=0.125, sϕ=0,B2: K-,pOD=0.125, sϕ=3^-1,B3: K-,pOD=0.125, sϕ=3^-2,B4: K-,pOD=0.125, sϕ=3^-3,B5: K-,pOD=0.125, sϕ=0,B6: K-,pOD=0.125, sϕ=3^-1,B7: K-,pOD=0.125, sϕ=3^-2,B8: K-,pOD=0.125, sϕ=3^-3,B9: K-,pOD=0.125, sϕ=0,B10: K-,pOD=0.125, sϕ=3^-1,B11: K-,pOD=0.125, sϕ=3^-2,B12: K-,pOD=0.125, sϕ=3^-3,C1: K-,pOD=0.0625, sϕ=0,C2: K-,pOD=0.0625, sϕ=3^-1,C3: K-,pOD=0.0625, sϕ=3^-2,C4: K-,pOD=0.0625, sϕ=3^-3,C5: K-,pOD=0.0625, sϕ=0,C6: K-,pOD=0.0625, sϕ=3^-1,C7: K-,pOD=0.0625, sϕ=3^-2,C8: K-,pOD=0.0625, sϕ=3^-3,C9: K-,pOD=0.0625, sϕ=0,C10: K-,pOD=0.0625, sϕ=3^-1,C11: K-,pOD=0.0625, sϕ=3^-2,C12: K-,pOD=0.0625, sϕ=3^-3,D1: K-,pOD=0.03125, sϕ=0,D2: K-,pOD=0.03125, sϕ=3^-1,D3: K-,pOD=0.03125, sϕ=3^-2,D4: K-,pOD=0.03125, sϕ=3^-3,D5: K-,pOD=0.03125, sϕ=0,D6: K-,pOD=0.03125, sϕ=3^-1,D7: K-,pOD=0.03125, sϕ=3^-2,D8: K-,pOD=0.03125, sϕ=3^-3,D9: K-,pOD=0.03125, sϕ=0,D10: K-,pOD=0.03125, sϕ=3^-1,D11: K-,pOD=0.03125, sϕ=3^-2,D12: K-,pOD=0.03125, sϕ=3^-3,E1: K+,pOD=0.25, sϕ=0,E2: K+,pOD=0.25, sϕ=3^-1,E3: K+,pOD=0.25, sϕ=3^-2,E4: K+,pOD=0.25, sϕ=3^-3,E5: K+,pOD=0.25, sϕ=0,E6: K+,pOD=0.25, sϕ=3^-1,E7: K+,pOD=0.25, sϕ=3^-2,E8: K+,pOD=0.25, sϕ=3^-3,E9: K+,pOD=0.25, sϕ=0,E10: K+,pOD=0.25, sϕ=3^-1,E11: K+,pOD=0.25, sϕ=3^-2,E12: K+,pOD=0.25, sϕ=3^-3,F1: K+,pOD=0.125, sϕ=0,F2: K+,pOD=0.125, sϕ=3^-1,F3: K+,pOD=0.125, sϕ=3^-2,F4: K+,pOD=0.125, sϕ=3^-3,F5: K+,pOD=0.125, sϕ=0,F6: K+,pOD=0.125, sϕ=3^-1,F7: K+,pOD=0.125, sϕ=3^-2,F8: K+,pOD=0.125, sϕ=3^-3,F9: K+,pOD=0.125, sϕ=0,F10: K+,pOD=0.125, sϕ=3^-1,F11: K+,pOD=0.125, sϕ=3^-2,F12: K+,pOD=0.125, sϕ=3^-3,G1: K+,pOD=0.0625, sϕ=0,G2: K+,pOD=0.0625, sϕ=3^-1,G3: K+,pOD=0.0625, sϕ=3^-2,G4: K+,pOD=0.0625, sϕ=3^-3,G5: K+,pOD=0.0625, sϕ=0,G6: K+,pOD=0.0625, sϕ=3^-1,G7: K+,pOD=0.0625, sϕ=3^-2,G8: K+,pOD=0.0625, sϕ=3^-3,G9: K+,pOD=0.0625, sϕ=0,G10: K+,pOD=0.0625, sϕ=3^-1,G11: K+,pOD=0.0625, sϕ=3^-2,G12: K+,pOD=0.0625, sϕ=3^-3,H1: K+,pOD=0.03125, sϕ=0,H2: K+,pOD=0.03125, sϕ=3^-1,H3: K+,pOD=0.03125, sϕ=3^-2,H4: K+,pOD=0.03125, sϕ=3^-3,H5: K+,pOD=0.03125, sϕ=0,H6: K+,pOD=0.03125, sϕ=3^-1,H7: K+,pOD=0.03125, sϕ=3^-2,H8: K+,pOD=0.03125, sϕ=3^-3,H9: K+,pOD=0.03125, sϕ=0,H10: K+,pOD=0.03125, sϕ=3^-1,H11: K+,pOD=0.03125, sϕ=3^-2,H12: K+,pOD=0.03125, sϕ=3^-3,Sampling time indicator
Time_sec,Time,Time_hr,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,Sampling time indicator
23049,384.15,6.4025,53849703,54135200,51873861,39623711,39382101,46709644,47239623,49937538,45659265,46709644,48848754,48848754,45398662,45398662,41089902,120453092,46182860,50486749,60318397,54421508,51316600,57920527,63078657,64326811,52434348,33818273,35394636,37009158,39141277,43089022,55865209,47505811,45138857,57329222,58813600,55865209,54708626,29730759,32934569,38661984,34714388,37712813,41337026,47772798,45920664,44107587,49937538,44879846,3683678,5484487,6289195,4193043,4044067,4736214,4499278,3613662,4193043,4897636,4344779,3207971,2246250,8388070,4577565,3475691,2645571,8174758,4118210,3407733,2826902,8823213,5061832,3340461,417106,16122565,6954296,1880107,490026,12059459,4499278,2301261,624732,13254885,6570026,1981342,45652,11546969,3754380,624732,53650,7249884,1167008,371778,38300,7860104,2246250,744382,45652
23949,399.15,6.6525,58217402,57329222,54421508,42333421,42333421,50211741,51039178,54135200,48848754,50486749,53281136,53281136,48848754,48309174,43851755,133624993,49664138,54135200,56741176,59714025,54421508,63701087,67183429,71096669,58217402,36312538,37948931,40598020,42333421,46182860,61843666,51316600,48578563,61843666,64955833,61536972,60318397,32063250,35622943,42836363,37948931,42584496,46445853,52715803,50211741,48848754,55865209,49664138,3544333,5924559,6382104,4118210,3970613,4979387,4577565,3613662,4044067,5144972,4499278,3142752,2138259,10556576,5313338,3683678,2586489,9960918,4577565,3613662,2705334,10799860,5924559,3754380,394114,19952256,9497273,2705334,465062,15378210,6475714,3207971,596472,17195553,8823213,2888708,45652,15231539,5746437,1089917,45652,10556576,2032972,683234,38300,11295053,3825770,1329200,45652
24849,414.15,6.9025,60926045,60621811,58217402,45659265,46182860,53565015,54996554,57624467,52998065,54421508,56448374,57034792,52153701,51594827,47239623,142664813,53565015,59413066,63701087,63701087,59413066,68474553,72093701,75813846,64640909,38901238,41833643,44621632,47239623,51039178,67827333,55865209,54135200,68474553,70765992,67504966,66862719,34714388,38423516,46182860,42584496,47505811,52153701,59112925,54996554,54135200,61231098,55285294,3407733,6570026,6570026,4118210,3825770,5398564,4656543,3544333,3970613,5484487,4656543,3142752,2085278,12849885,6289195,3970613,2528086,12059459,5398564,3897847,2645571,13391337,7150651,4344779,371778,23471403,12320038,3897847,440755,19284317,8713362,4577565,568871,21323943,11801770,4193043,38300,18954811,8388070,1981342,38300,14366887,3407733,1246768,38300,14795922,5746437,2356950,103359
27359,455.98333333333295,7.59972222222222,66542838,66223784,65905557,52153701,51873861,60015802,58813600,64013537,58217402,60318397,62151181,59714025,59112925,59714025,54421508,141697858,64013537,72093701,74789212,76157068,71096669,80695540,81763134,81406424,63701087,45398662,49119746,52715803,56156385,61231098,78234055,65905557,63389460,78583165,83921193,73772122,61536972,40353262,45920664,54421508,52153701,57624467,62151181,69451610,67183429,67183429,75129918,60926045,3273874,8604221,6570026,4193043,3683678,6760756,5144972,3613662,3754380,6760756,5398564,3340461,1930387,16731281,9045050,5061832,2413317,16885301,7964281,5313338,2586489,18304711,10316162,6196986,308707,26699665,16731281,6857174,394114,23105973,12984159,7860104,515649,25727433,16885301,7860104,31595,22743556,12716336,4577565,31595,17040058,6570026,3340461,38300,19284317,10316162,5924559,103359
28259,470.98333333333295,7.84972222222222,71096669,69451610,69778957,53565015,53849703,62459518,60318397,67183429,60318397,62151181,64013537,59112925,63389460,67827333,60015802,152032622,71428179,76846033,86109823,81763134,78234055,92096330,95949403,93243217,68150528,49119746,52434348,56448374,61536972,66542838,85011681,70436148,71096669,85376877,88329116,83921193,66542838,44621632,49664138,58813600,57920527,62459518,68474553,75471462,71096669,73772122,79988038,66862719,3273874,10436010,7450467,4268566,3544333,8069165,5571106,3683678,3683678,7964281,5924559,3544333,1830500,19284317,11295053,6014669,2356950,20290697,9843934,6382104,2528086,21850670,13254885,8495791,288993,31847353,20632123,9727666,371778,28905639,17351786,10922579,490026,31417872,21498769,11420651,31595,27690928,16885301,7756635,31595,21149866,9960918,5571106,31595,23839848,14366887,9383148,45652
29159,485.98333333333295,8.09972222222222,77191777,75813846,75129918,60318397,58813600,67183429,68799408,72427714,67504966,69125094,71096669,67504966,69451610,71096669,63078657,161212593,73434766,80695540,95949403,84283839,80695540,95949403,97908270,101087460,73434766,53281136,56741176,60015802,64640909,69778957,94397844,75129918,77191777,90957170,94784441,92096330,73098246,48578563,52998065,65905557,60621811,67827333,74449344,81763134,77191777,79635554,84647335,74789212,3142752,12320038,8823213,4499278,3544333,9612113,6196986,3825770,3544333,9497273,6857174,3754380,1781568,24211313,14084515,7551817,2301261,23839848,12583513,8174758,2470362,25727433,17195553,11046018,288993,36543964,25535266,13119159,371778,33596184,21323943,14652180,465062,36543964,26308492,14940396,25536,32497363,20632123,10922579,31595,25343857,13119159,8823213,31595,28497676,18466123,13391337,45652
30059,500.98333333333295,8.34972222222222,79988038,78583165,76501131,61536972,60926045,70107137,70107137,74789212,70107137,70436148,73434766,71428179,72427714,75129918,66862719,166441827,76846033,84647335,107198415,88701986,84647335,98697869,101087460,105139630,76846033,58217402,61536972,64013537,68474553,74449344,100287461,79635554,81050559,95560220,101488762,97122132,77191777,54421508,57624467,71096669,64640909,73772122,79988038,86846176,81406424,86477573,91715752,78583165,3078217,14652180,10197031,4816578,3407733,11546969,7052121,4044067,3544333,11295053,7964281,4118210,1685722,26896394,17351786,9497273,2246250,27491150,15673750,10436010,2413317,29523328,20976537,14795922,269934,40353262,29938957,16425451,371778,37242928,24963314,18466123,465062,40109291,30779433,19119192,25536,36776170,24774179,14795922,31595,29110769,16731281,12059459,31595,33374871,22384148,17666469,45652
30959,515.983333333333,8.59972222222222,82838348,80695540,78583165,63701087,62768676,72762562,73434766,78933118,73434766,74449344,78933118,75813846,75813846,78234055,70107137,173378726,79988038,88701986,116517605,93243217,89825726,105960523,107198415,111381648,80341367,61231098,66223784,68150528,70765992,79283914,108444179,83198448,85376877,103102663,110117467,101890933,80341367,58217402,62459518,76846033,67504966,79283914,85376877,92096330,86477573,93243217,102293973,85376877,2951195,16273640,11930253,5228807,3407733,13666424,8281060,4344779,3407733,13666424,9612113,4656543,1638808,29110769,20803956,11801770,2138259,30991476,18954811,13119159,2301261,32497363,24398179,18466123,269934,42836363,33596184,20121104,371778,40109291,28701275,22027745,465062,43596718,34264777,23105973,25536,40109291,28092773,18466123,31595,33154333,20461036,15378210,25536,37009158,26308492,22205571,45652
31859,530.983333333333,8.849722222222221,86477573,82838348,81763134,67183429,65271582,75471462,78234055,83559396,77885787,78234055,83921193,79283914,79283914,82479096,74110314,178822184,82838348,93627232,124011680,100687026,95171899,110117467,113933757,117821461,84283839,64326811,70107137,72093701,74789212,83921193,115652790,87957101,90579165,110537982,116084756,107612794,84283839,61843666,65271582,82479096,70436148,86109823,92477767,99490932,92096330,101087460,108861186,89825726,2826902,17984109,13666424,5835149,3273874,15525613,9727666,4736214,3340461,15822620,11674009,5398564,1546995,31632227,23839848,14795922,2085278,33154333,22563476,16425451,2246250,34714388,27891469,21850670,269934,45398662,37009158,23839848,350099,42584496,32279920,26114046,440755,46445853,38901238,27690928,25536,43089022,31632227,21850670,25536,36543964,24025203,19119192,25536,41584940,29938957,26699665,45652
32759,545.983333333333,9.099722222222221,89825726,85742925,83921193,69125094,67504966,77885787,83559396,87215631,81763134,82479096,87957101,82479096,83198448,85742925,78234055,184918395,86477573,99093967,131300239,105549640,100287461,116084756,119572334,122670535,87585939,67183429,73772122,76846033,77885787,88329116,123116693,92477767,96730358,117385958,123116693,110959376,88701986,65588156,69451610,88329116,74110314,92860062,97908270,105549640,98697869,108444179,116951339,94397844,2705334,19784154,15525613,6665040,3207971,17195553,11420651,5313338,3273874,17824919,13944423,6570026,1502095,33818273,26699665,18144040,1981342,35394636,26114046,19952256,2138259,37712813,30991476,25153207,251530,48040586,39866108,27690928,350099,44879846,36081893,29938957,440755,49391540,42083137,31847353,25536,45659265,35167109,25153207,25536,40109291,27491150,22743556,25536,45920664,33596184,30991476,45652
33659,560.983333333333,9.349722222222221,91715752,89075711,87957101,71760523,70107137,80695540,86846176,92096330,86109823,86109823,93243217,86477573,86846176,89450291,82120692,193415436,89450291,103508314,139296349,111381648,105960523,121780890,124910234,128540174,90202018,70436148,77885787,79988038,81406424,92860062,128083301,98302637,101890933,123116693,129456608,116084756,91715752,68150528,72762562,92860062,77538361,99093967,104322229,111804799,103508314,115221708,123563741,99093967,2528086,21323943,17351786,7756635,3142752,18791173,13119159,6196986,3207971,19616798,15822620,7964281,1414308,36312538,28701275,21674345,1930387,37948931,29316665,23288311,2085278,40109291,34041137,28701275,233778,51039178,42333421,31204289,329075,47239623,39141277,33818273,417106,51873861,44879846,35852028,25536,48040586,38423516,28701275,25536,42333421,31204289,26308492,25536,49119746,37242928,35167109,103359
36387,606.45,10.1075,93627232,92477767,93243217,76846033,73434766,85376877,88701986,94012108,89450291,89825726,96339449,88701986,92860062,95560220,88329116,184359487,96339449,112653741,144122060,120012269,115652790,126264757,130376629,127172240,95171899,76846033,88701986,89450291,91336032,102293973,134561195,106784910,110959376,129916170,140254233,117821461,95171899,75471462,80695540,99888763,84647335,110117467,113933757,121780890,115221708,127627323,132692393,108861186,2301261,24585801,18954811,10197031,3078217,22924388,15972226,8388070,3078217,23105973,18954811,9960918,1287649,41833643,32715579,26503698,1781568,43342474,33154333,28092773,1981342,46445853,37477479,30147923,200235,54421508,45138857,34264777,288993,51316600,41833643,36776170,371778,57624467,46974234,37009158,15353,50211741,39866108,30991476,20122,42584496,33374871,29110769,20122,50762561,40598020,37712813,103359
37287,621.45,10.3575,95560220,96730358,97514769,80695540,75813846,89075711,89075711,94397844,86846176,89075711,96730358,86477573,94784441,102697883,95949403,192842335,103102663,117385958,156075794,125360849,127172240,134561195,142180881,139774838,97122132,82838348,90579165,92860062,93627232,104730493,136917479,110959376,118257850,135030647,143149653,126718052,97514769,82838348,84647335,101488762,88701986,113506204,116084756,124460511,116951339,130837985,135501001,117385958,2191916,27491150,21674345,11801770,3014365,24963314,17984109,9843934,3078217,25153207,21323943,12451414,1246768,46445853,35394636,28092773,1733308,46974234,35167109,30357657,1880107,51316600,41089902,34264777,200235,61843666,49119746,38423516,269934,56448374,46974234,41337026,350099,64640909,52153701,41089902,15353,54135200,42836363,35852028,20122,46445853,36081893,33818273,20122,56156385,43596718,43851755,45652
38187,636.45,10.6075,101087460,100687026,102293973,84647335,82479096,98697869,98697869,99888763,95949403,95949403,103102663,95560220,101890933,108028049,99093967,198034458,103508314,117385958,164339014,124910234,125812356,134092643,140254233,142664813,103914836,88329116,92860062,95171899,96339449,106372279,141697858,113933757,120894803,137391444,143635402,132227443,103914836,88701986,90202018,106784910,93627232,116084756,119133286,128540174,119572334,133624993,137391444,125812356,2138259,28905639,24025203,13528517,2951195,26699665,19952256,11674009,3014365,27491150,23839848,14225336,1206554,47505811,37009158,30568161,1685722,49664138,37477479,32279920,1830500,54996554,44879846,37712813,184442,64955833,51594827,40598020,251530,60015802,48848754,43851755,329075,69125094,56156385,44621632,15353,60015802,47772798,39623711,15353,50211741,38901238,38423516,15353,60318397,47505811,48309174,45652
39087,651.45,10.8575,102697883,101488762,103508314,85376877,83198448,99888763,100287461,99888763,96730358,97514769,105139630,98302637,102697883,108028049,101087460,200366826,105139630,119133286,171763925,124910234,127172240,135030647,141215742,143635402,103914836,92477767,95171899,96339449,100687026,107612794,143635402,116517605,121337402,138818765,144609628,132692393,105960523,94012108,97908270,110117467,98302637,118257850,121337402,129916170,121337402,135501001,140734534,130376629,2032972,31417872,25920360,15378210,2888708,28294842,21850670,13528517,2951195,29938957,25727433,15822620,1206554,51039178,39382101,32715579,1638808,54135200,40353262,34940359,1781568,58217402,48578563,40598020,184442,69778957,54135200,42584496,269934,63389460,52434348,46182860,329075,71760523,60318397,48578563,15353,64640909,49937538,41833643,20122,52434348,40353262,40843567,20122,65271582,50211741,50486749,45652
39987,666.45,11.1075,104322229,101890933,104730493,87215631,85742925,101890933,102697883,102697883,103102663,101488762,107612794,103508314,104322229,108861186,104322229,203303771,108028049,121337402,178273622,127172240,130376629,136917479,144122060,148048117,104322229,97514769,97908270,97908270,103914836,108861186,146077796,119133286,125360849,143149653,146569008,134561195,106784910,99888763,101087460,113506204,101488762,120894803,124910234,132692393,125360849,139774838,144609628,134092643,1930387,34714388,28294842,17195553,2826902,30991476,23839848,15378210,2888708,33154333,28092773,17666469,1128129,53849703,41833643,34940359,1546995,57034792,43089022,37477479,1685722,61536972,51873861,44879846,184442,73098246,58217402,45920664,269934,66223784,55574846,49391540,329075,75471462,64326811,51594827,15353,68474553,52998065,44364212,15353,56741176,43089022,43596718,20122,69778957,53849703,51873861,45652
40887,681.45,11.3575,105549640,102697883,106784910,90579165,87585939,103102663,104322229,104730493,110959376,104730493,111804799,109279069,105549640,110537982,106784910,204485243,111381648,124460511,186600781,129916170,134092643,140734534,148048117,150033050,104730493,99888763,101087460,99888763,106372279,112228830,148048117,122670535,128997943,146077796,148048117,136917479,109279069,103102663,102293973,116084756,104322229,123563741,128083301,135972258,134561195,144609628,148542979,139296349,1830500,37242928,30147923,18791173,2765778,33818273,25727433,17351786,2826902,36081893,31204289,19450185,1089917,56156385,45138857,37242928,1457866,59112925,46445853,39866108,1638808,64640909,54996554,47505811,169301,75471462,61536972,48040586,269934,69778957,59714025,52998065,329075,78933118,67827333,55285294,15353,71096669,55285294,46974234,15353,59714025,45920664,46709644,15353,74110314,57329222,54135200,45652
41787,696.45,11.6075,105960523,103914836,108444179,92860062,90202018,104730493,106784910,107612794,116951339,107612794,115652790,118695125,107198415,110959376,110117467,206264636,114362192,128997943,193989485,133158243,138818765,143635402,151531355,154552716,105549640,101890933,103914836,101488762,108444179,118695125,152534806,126718052,132692393,150033050,151531355,138818765,111804799,105549640,105139630,119572334,106784910,126718052,133158243,141697858,139774838,150531569,154046861,146077796,1733308,39141277,33374871,20461036,2705334,36312538,27491150,19284317,2705334,38185831,34264777,21149866,1052372,57920527,48309174,39623711,1414308,61231098,49664138,43596718,1592565,67827333,57624467,50486749,169301,78583165,64326811,50762561,269934,72762562,62768676,57329222,350099,82120692,71760523,60015802,15353,74449344,58813600,49937538,15353,63078657,48848754,49937538,20122,77885787,61843666,57034792,45652
42687,711.45,11.8575,106372279,104730493,109697829,95171899,91715752,105549640,109697829,111381648,121780890,110117467,119133286,134561195,108444179,111381648,111381648,206859684,116517605,132692393,200952304,136444417,144122060,147554168,155567182,160694760,106372279,104322229,106372279,102697883,109697829,123563741,156075794,128540174,137866313,154552716,154552716,141697858,113933757,108861186,105549640,121780890,108028049,130837985,137866313,147061131,144609628,156585326,159146805,151031004,1592565,40843567,35852028,22384148,2586489,38661984,30147923,21149866,2645571,40353262,36081893,23105973,1015493,60015802,50762561,43089022,1329200,63701087,52998065,46974234,1502095,71096669,60926045,52998065,154811,81406424,66542838,54708626,269934,74789212,65588156,60926045,350099,85011681,74449344,64013537,15353,77538361,63078657,53281136,15353,66223784,52998065,53281136,20122,81406424,65271582,59714025,103359
45112,751.866666666666,12.5311111111111,107198415,109279069,112653741,97908270,93243217,107612794,108861186,113933757,123116693,111804799,117821461,155567182,111804799,117821461,114362192,203303771,116951339,137866313,173918861,145587496,162251031,153037906,155567182,166441827,110117467,108861186,131300239,108444179,114791509,131300239,166969851,133624993,145587496,160177852,164863326,156075794,118695125,110537982,126718052,128540174,110117467,140734534,145587496,155059489,151531355,169623915,177725999,186600781,1414308,43851755,38185831,26308492,2470362,42584496,35394636,24585801,2528086,43851755,39382101,25920360,979279,62459518,55574846,49391540,1287649,67827333,59714025,53565015,1457866,74110314,64013537,54996554,140972,80341367,67827333,59413066,233778,76157068,68150528,64955833,329075,86477573,75813846,66223784,7749,76157068,63389460,55865209,11229,65271582,52998065,56741176,15353,81763134,68799408,61843666,103359
46012,766.866666666666,12.7811111111111,108861186,110117467,114362192,98697869,91715752,107612794,108861186,115652790,125360849,113079532,124011680,166969851,113079532,121780890,120453092,209849323,123563741,146569008,186039042,154046861,169091242,164339014,171763925,192270184,111804799,114362192,136444417,113079532,119572334,138342087,176633564,139296349,151531355,169091242,172301259,178822184,120894803,115652790,131300239,134561195,113506204,146569008,151031004,162251031,158119449,173918861,184359487,206264636,1371419,46709644,40598020,29523328,2413317,44621632,37477479,27093884,2470362,46445853,43342474,29110769,943730,66862719,58813600,52715803,1206554,71096669,63389460,57329222,1371419,78933118,68799408,60015802,140972,85742925,73098246,64640909,200235,82838348,75129918,71096669,288993,92860062,82120692,71096669,7749,80695540,66862719,61231098,11229,69778957,57329222,61231098,11229,84647335,72093701,65905557,45652
46912,781.866666666666,13.0311111111111,115221708,113079532,119572334,103102663,98697869,113506204,119133286,126718052,135501001,126264757,135030647,182133277,119133286,125812356,123116693,212863001,124910234,147061131,192842335,155567182,170692056,162771638,168028687,195717337,117385958,117821461,139774838,116951339,122670535,139774838,176088751,140734534,154552716,169623915,171763925,184359487,128083301,117385958,133158243,139296349,116951339,150531569,154046861,167498804,163815629,177725999,182688417,214075214,1329200,48040586,43089022,31417872,2356950,46709644,39141277,29730759,2413317,48848754,45659265,30991476,908846,69125094,60621811,54708626,1167008,72762562,65588156,59714025,1329200,82120692,73434766,63701087,140972,88701986,75813846,67183429,200235,85742925,78583165,75129918,288993,98302637,86477573,75129918,7749,85742925,72093701,64955833,11229,72427714,60015802,65588156,11229,90579165,74789212,70765992,45652
47812,796.866666666666,13.2811111111111,116517605,115221708,120894803,104322229,98697869,116517605,123116693,128083301,138342087,129456608,138342087,188291666,120894803,126718052,123563741,212258340,126718052,149038755,195140435,156585326,173378726,163293170,169091242,195140435,119133286,118257850,141215742,119572334,124460511,142180881,177725999,142180881,157095779,171227524,174459931,183801522,129916170,119133286,134561195,142180881,119572334,154046861,157607153,169623915,165914732,177725999,185478247,217122634,1287649,50211741,45398662,33374871,2246250,48578563,40843567,31417872,2301261,50486749,46709644,32497363,908846,71096669,63078657,57624467,1128129,75813846,68150528,62151181,1287649,84283839,75813846,65905557,140972,91715752,78234055,69451610,200235,87957101,81050559,78234055,288993,100287461,88701986,79283914,7749,88329116,74449344,67827333,11229,75813846,62768676,69451610,11229,94397844,77885787,72427714,45652
48712,811.866666666666,13.5311111111111,117821461,117385958,122670535,106784910,101087460,118695125,125812356,131300239,143149653,133158243,143635402,196295189,121337402,128540174,124460511,212258340,129456608,152032622,198616119,159661867,177725999,166969851,172301259,196873993,120012269,119572334,140734534,123563741,127627323,144609628,178822184,144609628,161731350,175001935,175544875,187163464,129916170,119133286,135501001,145587496,121337402,155567182,160177852,172839526,169091242,180473502,187163464,220194220,1246768,51594827,46974234,34714388,2138259,50211741,42333421,33374871,2191916,52715803,48578563,34264777,874626,72427714,65271582,59714025,1128129,77191777,69451610,64013537,1287649,86477573,76846033,68474553,127784,93627232,79988038,72093701,216680,90579165,83198448,80695540,308707,102293973,90579165,82120692,11229,90957170,76501131,70765992,11229,78933118,65905557,72093701,11229,96730358,79988038,74110314,45652
49612,826.866666666666,13.7811111111111,118257850,120012269,125812356,109697829,103914836,121780890,128540174,134561195,148542979,135501001,146569008,200952304,124011680,130837985,126264757,212258340,132692393,156075794,200366826,164339014,184359487,169623915,176088751,199782303,121780890,120012269,142664813,128083301,131763392,146569008,182133277,148542979,165914732,179371684,176633564,188857185,132227443,120012269,135972258,148542979,125360849,157607153,163815629,177179313,172301259,184359487,189423650,223290025,1206554,53281136,48040586,36312538,2085278,51039178,43342474,34489194,2138259,53849703,50211741,36312538,841071,74110314,66542838,61231098,1052372,77885787,71096669,66223784,1206554,87585939,77538361,70765992,127784,97514769,82120692,74449344,216680,92096330,85011681,82838348,308707,105960523,92096330,83559396,11229,92477767,78583165,73434766,11229,81406424,68474553,74449344,11229,98697869,82120692,75813846,45652
50512,841.866666666666,14.0311111111111,120894803,123563741,129456608,112653741,106784910,124460511,131763392,139296349,154552716,138818765,151031004,206264636,127172240,132227443,128997943,213468625,136444417,160694760,201538737,169091242,189423650,174459931,179922123,203303771,124910234,122670535,145098107,132227443,136917479,150033050,183801522,152032622,171227524,184359487,179922123,192842335,134092643,121337402,140254233,151531355,128540174,159146805,166969851,181025820,177179313,187163464,191698982,227664943,1167008,54421508,49664138,37712813,1981342,52153701,44879846,36081893,2032972,55574846,51594827,38185831,841071,75129918,67827333,63078657,1052372,79283914,72427714,68474553,1206554,89825726,79283914,72762562,127784,99888763,83921193,76501131,216680,95171899,86846176,84647335,329075,108444179,94012108,86477573,11229,94397844,80341367,75813846,11229,84283839,71096669,76501131,11229,100687026,84283839,77538361,45652
51412,856.866666666666,14.2811111111111,124011680,125812356,133624993,116517605,110959376,128997943,135972258,144122060,160177852,143149653,156075794,213468625,130376629,136444417,132227443,213468625,141697858,165914732,203303771,173378726,193989485,178822184,184359487,207455691,127172240,124910234,147554168,136917479,142180881,152534806,186600781,156075794,175544875,188857185,183801522,198034458,136444417,122225268,143149653,155059489,133158243,162251031,170157520,184918395,181025820,191698982,194564485,233997642,1089917,55574846,50762561,39382101,1880107,53565015,46182860,37477479,1930387,57034792,52998065,39623711,808178,76501131,69451610,64640909,1015493,80341367,73772122,69778957,1167008,93627232,80695540,74449344,115247,100687026,85376877,78583165,200235,98697869,88701986,86477573,308707,110117467,96339449,88329116,11229,98697869,82479096,77885787,11229,86846176,73434766,78583165,11229,104730493,86477573,79283914,45652
52312,871.866666666666,14.5311111111111,127627323,128540174,137391444,120453092,114791509,133624993,140254233,149038755,165388565,148048117,161731350,222668924,133158243,139296349,135501001,214682767,146077796,168028687,206264636,177179313,198616119,183801522,189991062,212258340,129456608,128540174,148542979,139296349,144609628,155059489,188291666,160177852,178822184,191698982,187727092,202126126,137866313,125812356,145587496,156585326,136444417,163293170,172301259,187163464,184359487,195140435,200366826,243027849,1089917,56448374,52434348,41089902,1781568,54421508,46974234,38901238,1830500,59112925,54708626,42083137,775949,77885787,70436148,66542838,979279,81406424,75129918,72093701,1128129,95949403,81763134,76157068,115247,101488762,86477573,79988038,200235,99888763,90202018,88329116,308707,111381648,100687026,90579165,11229,100687026,84283839,80695540,11229,91715752,75471462,81050559,11229,108028049,88701986,81050559,45652
