#--- Do not edit. Generated automatically from fig12 ---
#Time_sec,Time_min,Time_hr,A1: K-,sOD=0.25, sϕ=0,A2: K-,sOD=0.25, sϕ=3^-1,A3: K-,sOD=0.25, sϕ=3^-2,A4: K-,sOD=0.25, sϕ=3^-3,A5: K-,sOD=0.25, sϕ=3^-4,A6: K-,sOD=0.25, sϕ=3^-5,A7: K-,sOD=0.25, sϕ=3^-6,A8: K-,sOD=0.25, sϕ=3^-7,A9: K-,sOD=0.25, sϕ=3^-8,A10: K-,sOD=0.25, sϕ=3^-9,A11: K-,sOD=0.25, sϕ=3^-10,A12: K-,sOD=0.25, sϕ=3^0(neat),B1: K-,sOD=0.125, sϕ=0,B2: K-,sOD=0.125, sϕ=3^-1,B3: K-,sOD=0.125, sϕ=3^-2,B4: K-,sOD=0.125, sϕ=3^-3,B5: K-,sOD=0.125, sϕ=3^-4,B6: K-,sOD=0.125, sϕ=3^-5,B7: K-,sOD=0.125, sϕ=3^-6,B8: K-,sOD=0.125, sϕ=3^-7,B9: K-,sOD=0.125, sϕ=3^-8,B10: K-,sOD=0.125, sϕ=3^-9,B11: K-,sOD=0.125, sϕ=3^-10,B12: K-,sOD=0.125, sϕ=3^0 (neat),C1: K-,sOD=0.0625, sϕ=0,C2: K-,sOD=0.0625, sϕ=3^-1,C3: K-,sOD=0.0625, sϕ=3^-2,C4: K-,sOD=0.0625, sϕ=3^-3,C5: K-,sOD=0.0625, sϕ=3^-4,C6: K-,sOD=0.0625, sϕ=3^-5,C7: K-,sOD=0.0625, sϕ=3^-6,C8: K-,sOD=0.0625, sϕ=3^-7,C9: K-,sOD=0.0625, sϕ=3^-8,C10: K-,sOD=0.0625, sϕ=3^-9,C11: K-,sOD=0.0625, sϕ=3^-10,C12: K-,sOD=0.0625, sϕ=3^0(neat),D1: K-,sOD=0.03125, sϕ=0,D2: K-,sOD=0.03125, sϕ=3^-1,D3: K-,sOD=0.03125, sϕ=3^-2,D4: K-,sOD=0.03125, sϕ=3^-3,D5: K-,sOD=0.03125, sϕ=3^-4,D6: K-,sOD=0.03125, sϕ=3^-5,D7: K-,sOD=0.03125, sϕ=3^-6,D8: K-,sOD=0.03125, sϕ=3^-7,D9: K-,sOD=0.03125, sϕ=3^-8,D10: K-,sOD=0.03125, sϕ=3^-9,D11: K-,sOD=0.03125, sϕ=3^-10,D12: K-,sOD=0.03125, sϕ=3^-0(neat),E1: K+,sOD=0.25, sϕ=0,E2: K+,sOD=0.25, sϕ=3^-1,E3: K+,sOD=0.25, sϕ=3^-2,E4: K+,sOD=0.25, sϕ=3^-3,E5: K+,sOD=0.25, sϕ=3^-4,E6: K+,sOD=0.25, sϕ=3^-5,E7: K+,sOD=0.25, sϕ=3^-6,E8: K+,sOD=0.25, sϕ=3^-7,E9: K+,sOD=0.25, sϕ=3^-8,E10: K+,sOD=0.25, sϕ=3^-9,E11: K+,sOD=0.25, sϕ=3^-10,E12: K+,sOD=0.25, sϕ=3^0 (neat),F1: K+,sOD=0.125, sϕ=0,F2: K+,sOD=0.125, sϕ=3^-1,F3: K+,sOD=0.125, sϕ=3^-2,F4: K+,sOD=0.125, sϕ=3^-3,F5: K+,sOD=0.125, sϕ=3^-4,F6: K+,sOD=0.125, sϕ=3^-5,F7: K+,sOD=0.125, sϕ=3^-6,F8: K+,sOD=0.125, sϕ=3^-7,F9: K+,sOD=0.125, sϕ=3^-8,F10: K+,sOD=0.125, sϕ=3^-9,F11: K+,sOD=0.125, sϕ=3^-10,F12: K+,sOD=0.125, sϕ=3^0(neat),G1: K+,sOD=0.0625, sϕ=0,G2: K+,sOD=0.0625, sϕ=3^-1,G3: K+,sOD=0.0625, sϕ=3^-2,G4: K+,sOD=0.0625, sϕ=3^-3,G5: K+,sOD=0.0625, sϕ=3^-4,G6: K+,sOD=0.0625, sϕ=3^-5,G7: K+,sOD=0.0625, sϕ=3^-6,G8: K+,sOD=0.0625, sϕ=3^-7,G9: K+,sOD=0.0625, sϕ=3^-8,G10: K+,sOD=0.0625, sϕ=3^-9,G11: K+,sOD=0.0625, sϕ=3^-10,G12: K+,sOD=0.0625, sϕ=3^0(neat),H1: K+,sOD=0.03125, sϕ=0,H2: K+,sOD=0.03125, sϕ=3^-1,H3: K+,sOD=0.03125, sϕ=3^-2,H4: K+,sOD=0.03125, sϕ=3^-3,H5: K+,sOD=0.03125, sϕ=3^-4,H6: K+,sOD=0.03125, sϕ=3^-5,H7: K+,sOD=0.03125, sϕ=3^-6,H8: K+,sOD=0.03125, sϕ=3^-7,H9: K+,sOD=0.03125, sϕ=3^-8,H10: K+,sOD=0.03125, sϕ=3^-9,H11: K+,sOD=0.03125, sϕ=3^-10,H12: K+,sOD=0.03125, sϕ=3^0(neat)
Time_sec,Time,Time_hr,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
9860,164.333333333333,2.73888888888888,22743556,23655248,23105973,19450185,21323943,20976537,20461036,19450185,26503698,24585801,25535266,23105973,20290697,21323943,18954811,18144040,20290697,19119192,19784154,25153207,19284317,23288311,27491150,22743556,16425451,15378210,14652180,17040058,19119192,16273640,19616798,18144040,18466123,20803956,19616798,17666469,18466123,16577998,12059459,14509168,12583513,13944423,15085601,14940396,17351786,17824919,16425451,16273640,7249884,6570026,6570026,6857174,7349823,7249884,5924559,6475714,7349823,6289195,7052121,6760756,1592565,1880107,1546995,1414308,1502095,1592565,1930387,1592565,1685722,1781568,1638808,1546995,251530,216680,251530,200235,269934,216680,288993,251530,371778,541931,417106,329075,31595,38300,38300,31595,38300,31595,45652,25536,38300,45652,31595,38300
10760,179.333333333333,2.98888888888888,25535266,26896394,24963314,21323943,23839848,23288311,22924388,21674345,29110769,27690928,29110769,26308492,21850670,22743556,20121104,18304711,21323943,20121104,21149866,26699665,20632123,25727433,30147923,25535266,17040058,16273640,15085601,17984109,20632123,17040058,21498769,19119192,20121104,22743556,21323943,19284317,20121104,18144040,13391337,15231539,13119159,14225336,16885301,16273640,18791173,19784154,18304711,19284317,6954296,6289195,6475714,6570026,7052121,6954296,5571106,6196986,7052121,6014669,6857174,6570026,1502095,1781568,1502095,1329200,1414308,1457866,1880107,1592565,1592565,1733308,1592565,1502095,216680,200235,233778,200235,251530,200235,269934,233778,329075,515649,394114,308707,31595,38300,38300,31595,38300,31595,45652,25536,31595,38300,25536,38300
11660,194.333333333333,3.23888888888888,27491150,29938957,27292136,23655248,26114046,25727433,25153207,24211313,31847353,30147923,31204289,27891469,22027745,24585801,20976537,18954811,22743556,21674345,23105973,28905639,21323943,26308492,34940359,27690928,17824919,17195553,15673750,19284317,21850670,17984109,22924388,20121104,21323943,24211313,23105973,20290697,21498769,19952256,14366887,16577998,13391337,15085601,18466123,17351786,20121104,21149866,19952256,21498769,6665040,5924559,6196986,6475714,6760756,6760756,5484487,5924559,6760756,5835149,6570026,6289195,1371419,1733308,1457866,1287649,1329200,1371419,1830500,1457866,1546995,1638808,1502095,1414308,200235,184442,216680,184442,233778,169301,251530,200235,308707,490026,350099,269934,25536,31595,31595,25536,31595,25536,38300,20122,25536,38300,20122,31595
12560,209.333333333333,3.48888888888888,29938957,33154333,29938957,26503698,27690928,27491150,27690928,26114046,34041137,31847353,32934569,29938957,25343857,27093884,22563476,19784154,25153207,22924388,25153207,32063250,23288311,28092773,40353262,32279920,18954811,18144040,16122565,20290697,22743556,19119192,24585801,20803956,22384148,26114046,24963314,22205571,22563476,22563476,15378210,17984109,13805059,16577998,20121104,18954811,21674345,23105973,21498769,23839848,6382104,5746437,6014669,6196986,6570026,6570026,5228807,5658422,6570026,5571106,6289195,6105478,1329200,1638808,1371419,1246768,1246768,1329200,1733308,1414308,1592565,1546995,1414308,1414308,169301,169301,200235,169301,216680,154811,233778,184442,288993,465062,329075,269934,25536,31595,31595,25536,25536,20122,31595,20122,25536,31595,20122,25536
13460,224.333333333333,3.73888888888888,32715579,34489194,30568161,27891469,28701275,29316665,28092773,27690928,35622943,33154333,33596184,31632227,27093884,29730759,23839848,21674345,27093884,26114046,27491150,34714388,26308492,32715579,42584496,35394636,20121104,19616798,17351786,21850670,24025203,20290697,25920360,23105973,24025203,28294842,27491150,24025203,24774179,23655248,16122565,19284317,15085601,17666469,21323943,20461036,22924388,24963314,22924388,25153207,6105478,5571106,5746437,6014669,6289195,6289195,4979387,5484487,6289195,5313338,6105478,5924559,1206554,1592565,1329200,1167008,1167008,1246768,1638808,1329200,1502095,1502095,1329200,1457866,154811,154811,184442,140972,200235,140972,200235,169301,269934,440755,308707,251530,20122,25536,25536,20122,20122,15353,31595,15353,20122,25536,15353,25536
14360,239.333333333333,3.98888888888888,33596184,36543964,31847353,28294842,29523328,30568161,29523328,28905639,37948931,34940359,35852028,33596184,29316665,33596184,26503698,24025203,29938957,28497676,31632227,38661984,29316665,36081893,44879846,37948931,22205571,20461036,18304711,23288311,25535266,22027745,28701275,25153207,27093884,30779433,30779433,28294842,27292136,26114046,17195553,19784154,15822620,18304711,22743556,21674345,25153207,27690928,25920360,29938957,5924559,5398564,5571106,5746437,6105478,6105478,4816578,5228807,6105478,5144972,5835149,5658422,1167008,1592565,1246768,1089917,1128129,1167008,1546995,1246768,1457866,1414308,1246768,1502095,140972,154811,169301,127784,184442,127784,200235,154811,233778,417106,288993,251530,20122,25536,25536,20122,20122,20122,25536,15353,20122,25536,15353,20122
15260,254.333333333333,4.23888888888888,35394636,37948931,32715579,29110769,30568161,32279920,30991476,29938957,39623711,36312538,37009158,35394636,31417872,36543964,29523328,25535266,32279920,30779433,34041137,41337026,32497363,40598020,46709644,39382101,23471403,22384148,19284317,25535266,28905639,24211313,31632227,27891469,30357657,35167109,34264777,30991476,30779433,28497676,18791173,20632123,16885301,19616798,24585801,23655248,26896394,30357657,28701275,33596184,5658422,5228807,5484487,5571106,5835149,5924559,4656543,5061832,5924559,4979387,5658422,5571106,1089917,1592565,1246768,1052372,1052372,1128129,1457866,1206554,1371419,1371419,1167008,1733308,127784,184442,169301,127784,169301,115247,169301,140972,233778,394114,269934,269934,15353,25536,20122,20122,20122,15353,25536,11229,15353,25536,11229,20122
16160,269.33333333333303,4.48888888888888,36776170,39382101,34041137,29938957,32063250,34264777,32063250,31417872,41584940,37712813,39141277,37712813,32497363,37477479,31847353,26699665,33154333,33374871,36312538,42584496,35167109,43089022,49391540,41584940,25535266,24963314,20803956,28294842,32497363,27093884,35167109,30779433,33374871,38901238,37242928,33374871,34489194,31847353,20461036,22384148,18304711,21498769,26896394,25920360,29938957,33374871,32063250,37009158,5484487,5061832,5313338,5398564,5658422,5746437,4499278,4897636,5746437,4816578,5484487,5484487,1015493,1685722,1206554,979279,1015493,1052372,1371419,1128129,1206554,1287649,1089917,2032972,115247,200235,154811,115247,154811,103359,154811,127784,216680,371778,233778,288993,15353,20122,20122,15353,15353,11229,20122,11229,15353,20122,11229,20122
17060,284.33333333333303,4.73888888888888,38661984,40598020,35167109,31632227,32934569,36776170,33818273,32934569,44364212,39623711,41089902,39623711,33818273,39141277,33374871,27891469,34264777,34264777,37712813,44107587,38661984,46445853,52998065,44879846,27690928,27093884,23105973,31204289,35167109,29730759,37477479,33374871,35394636,42083137,40353262,35622943,38423516,34714388,23105973,24585801,20290697,24025203,29938957,29938957,33374871,35852028,36312538,39866108,5313338,5061832,5144972,5228807,5571106,5571106,4344779,4736214,5658422,4736214,5313338,5658422,943730,1880107,1246768,979279,979279,1015493,1329200,1089917,1089917,1246768,1052372,2413317,103359,269934,154811,103359,140972,92120,154811,115247,200235,350099,233778,371778,11229,25536,20122,15353,15353,11229,20122,11229,15353,20122,11229,20122
17960,299.33333333333303,4.98888888888888,40109291,42333421,35852028,33154333,34489194,38661984,36312538,34714388,48040586,41833643,43596718,42083137,34489194,40843567,33818273,28905639,35167109,35394636,38901238,45920664,41833643,48848754,56448374,48040586,29316665,27891469,24398179,32934569,37242928,31417872,39141277,34714388,37242928,43851755,42836363,38423516,41833643,37477479,25343857,27093884,22924388,26503698,33154333,33374871,36776170,37712813,39141277,42333421,5061832,4979387,5061832,5144972,5313338,5398564,4193043,4577565,5484487,4577565,5144972,5835149,874626,2138259,1287649,943730,943730,943730,1246768,1015493,1052372,1167008,979279,3142752,103359,371778,169301,103359,140972,92120,140972,115247,184442,329075,216680,490026,11229,25536,15353,15353,15353,11229,20122,7749,11229,20122,7749,20122
