fig 11,,,,fig 9 & 10,,,,fig 12,,,
D9, K-,sOD=0.03125,sϕ=0,D9, K-,pOD=0.03125,sϕ=0,D9, K-,sOD=0.03125,sϕ=3^-8
D10, K-,sOD=0.03125,sϕ=3^-8,D10, K-,pOD=0.03125,sϕ=3^-1,D10, K-,sOD=0.03125,sϕ=3^-9
D11, K-,sOD=0.03125,sϕ=3^-9,D11, K-,pOD=0.03125,sϕ=3^-2,D11, K-,sOD=0.03125,sϕ=3^-10
D12, K-,sOD=0.03125,sϕ=3^-10,D12, K-,pOD=0.03125,sϕ=3^-3,D12, K-,sOD=0.03125,sϕ=3^0
E1, K+,sOD=0.25,sϕ=0,E1, K+,pOD=0.25,sϕ=0,E1, K+,sOD=0.25,sϕ=0
E2, K+,sOD=0.25,sϕ=3^-8,E2, K+,pOD=0.25,sϕ=3^-1,E2, K+,sOD=0.25,sϕ=3^-1
E3, K+,sOD=0.25,sϕ=3^-9,E3, K+,pOD=0.25,sϕ=3^-2,E3, K+,sOD=0.25,sϕ=3^-2
E4, K+,sOD=0.25,sϕ=3^-10,E4, K+,pOD=0.25,sϕ=3^-3,E4, K+,sOD=0.25,sϕ=3^-3
E5, K+,sOD=0.25,sϕ=0,E5, K+,pOD=0.25,sϕ=0,E5, K+,sOD=0.25,sϕ=3^-4
E6, K+,sOD=0.25,sϕ=0,E6, K+,pOD=0.25,sϕ=3^-1,E6, K+,sOD=0.25,sϕ=3^-5
E7, K+,sOD=0.25,sϕ=3^-8,E7, K+,pOD=0.25,sϕ=3^-2,E7, K+,sOD=0.25,sϕ=3^-6
E8, K+,sOD=0.25,sϕ=3^-9,E8, K+,pOD=0.25,sϕ=3^-3,E8, K+,sOD=0.25,sϕ=3^-7
E9, K+,sOD=0.25,sϕ=3^-10,E9, K+,pOD=0.25,sϕ=0,E9, K+,sOD=0.25,sϕ=3^-8
E10, K+,sOD=0.25,sϕ=3^-8,E10, K+,pOD=0.25,sϕ=3^-1,E10, K+,sOD=0.25,sϕ=3^-9
E11, K+,sOD=0.25,sϕ=3^-9,E11, K+,pOD=0.25,sϕ=3^-2,E11, K+,sOD=0.25,sϕ=3^-10
E12, K+,sOD=0.25,sϕ=3^-10,E12, K+,pOD=0.25,sϕ=3^-3,E12, K+,sOD=0.25,sϕ=3^0
F1, K+,sOD=0.125,sϕ=0,F1, K+,pOD=0.125,sϕ=0,F1, K+,sOD=0.125,sϕ=0
F2, K+,sOD=0.125,sϕ=3^-8,F2, K+,pOD=0.125,sϕ=3^-1,F2, K+,sOD=0.125,sϕ=3^-1
F3, K+,sOD=0.125,sϕ=3^-9,F3, K+,pOD=0.125,sϕ=3^-2,F3, K+,sOD=0.125,sϕ=3^-2
F4, K+,sOD=0.125,sϕ=3^-10,F4, K+,pOD=0.125,sϕ=3^-3,F4, K+,sOD=0.125,sϕ=3^-3
F5, K+,sOD=0.125,sϕ=0,F5, K+,pOD=0.125,sϕ=0,F5, K+,sOD=0.125,sϕ=3^-4
F6, K+,sOD=0.125,sϕ=0,F6, K+,pOD=0.125,sϕ=3^-1,F6, K+,sOD=0.125,sϕ=3^-5
F7, K+,sOD=0.125,sϕ=3^-8,F7, K+,pOD=0.125,sϕ=3^-2,F7, K+,sOD=0.125,sϕ=3^-6
F8, K+,sOD=0.125,sϕ=3^-9,F8, K+,pOD=0.125,sϕ=3^-3,F8, K+,sOD=0.125,sϕ=3^-7
F9, K+,sOD=0.125,sϕ=3^-10,F9, K+,pOD=0.125,sϕ=0,F9, K+,sOD=0.125,sϕ=3^-8
F10, K+,sOD=0.125,sϕ=3^-8,F10, K+,pOD=0.125,sϕ=3^-1,F10, K+,sOD=0.125,sϕ=3^-9
F11, K+,sOD=0.125,sϕ=3^-9,F11, K+,pOD=0.125,sϕ=3^-2,F11, K+,sOD=0.125,sϕ=3^-10
F12, K+,sOD=0.125,sϕ=3^-10,F12, K+,pOD=0.125,sϕ=3^-3,F12, K+,sOD=0.125,sϕ=3^0
G1, K+,sOD=0.0625,sϕ=0,G1, K+,pOD=0.0625,sϕ=0,G1, K+,sOD=0.0625,sϕ=0
G2, K+,sOD=0.0625,sϕ=3^-8,G2, K+,pOD=0.0625,sϕ=3^-1,G2, K+,sOD=0.0625,sϕ=3^-1
G3, K+,sOD=0.0625,sϕ=3^-9,G3, K+,pOD=0.0625,sϕ=3^-2,G3, K+,sOD=0.0625,sϕ=3^-2
G4, K+,sOD=0.0625,sϕ=3^-10,G4, K+,pOD=0.0625,sϕ=3^-3,G4, K+,sOD=0.0625,sϕ=3^-3
G5, K+,sOD=0.0625,sϕ=0,G5, K+,pOD=0.0625,sϕ=0,G5, K+,sOD=0.0625,sϕ=3^-4
G6, K+,sOD=0.0625,sϕ=0,G6, K+,pOD=0.0625,sϕ=3^-1,G6, K+,sOD=0.0625,sϕ=3^-5
G7, K+,sOD=0.0625,sϕ=3^-8,G7, K+,pOD=0.0625,sϕ=3^-2,G7, K+,sOD=0.0625,sϕ=3^-6
G8, K+,sOD=0.0625,sϕ=3^-9,G8, K+,pOD=0.0625,sϕ=3^-3,G8, K+,sOD=0.0625,sϕ=3^-7
G9, K+,sOD=0.0625,sϕ=3^-10,G9, K+,pOD=0.0625,sϕ=0,G9, K+,sOD=0.0625,sϕ=3^-8
G10, K+,sOD=0.0625,sϕ=3^-8,G10, K+,pOD=0.0625,sϕ=3^-1,G10, K+,sOD=0.0625,sϕ=3^-9
G11, K+,sOD=0.0625,sϕ=3^-9,G11, K+,pOD=0.0625,sϕ=3^-2,G11, K+,sOD=0.0625,sϕ=3^-10
G12, K+,sOD=0.0625,sϕ=3^-10,G12, K+,pOD=0.0625,sϕ=3^-3,G12, K+,sOD=0.0625,sϕ=3^0
H1, K+,sOD=0.03125,sϕ=0,H1, K+,pOD=0.03125,sϕ=0,H1, K+,sOD=0.03125,sϕ=0
H2, K+,sOD=0.03125,sϕ=3^-8,H2, K+,pOD=0.03125,sϕ=3^-1,H2, K+,sOD=0.03125,sϕ=3^-1
H3, K+,sOD=0.03125,sϕ=3^-9,H3, K+,pOD=0.03125,sϕ=3^-2,H3, K+,sOD=0.03125,sϕ=3^-2
H4, K+,sOD=0.03125,sϕ=3^-10,H4, K+,pOD=0.03125,sϕ=3^-3,H4, K+,sOD=0.03125,sϕ=3^-3
H5, K+,sOD=0.03125,sϕ=0,H5, K+,pOD=0.03125,sϕ=0,H5, K+,sOD=0.03125,sϕ=3^-4
H6, K+,sOD=0.03125,sϕ=0,H6, K+,pOD=0.03125,sϕ=3^-1,H6, K+,sOD=0.03125,sϕ=3^-5
H7, K+,sOD=0.03125,sϕ=3^-8,H7, K+,pOD=0.03125,sϕ=3^-2,H7, K+,sOD=0.03125,sϕ=3^-6
H8, K+,sOD=0.03125,sϕ=3^-9,H8, K+,pOD=0.03125,sϕ=3^-3,H8, K+,sOD=0.03125,sϕ=3^-7
H9, K+,sOD=0.03125,sϕ=3^-10,H9, K+,pOD=0.03125,sϕ=0,H9, K+,sOD=0.03125,sϕ=3^-8
H10, K+,sOD=0.03125,sϕ=3^-8,H10, K+,pOD=0.03125,sϕ=3^-1,H10, K+,sOD=0.03125,sϕ=3^-9
H11, K+,sOD=0.03125,sϕ=3^-9,H11, K+,pOD=0.03125,sϕ=3^-2,H11, K+,sOD=0.03125,sϕ=3^-10
H12, K+,sOD=0.03125,sϕ=3^-10,H12, K+,pOD=0.03125,sϕ=3^-3,H12, K+,sOD=0.03125,sϕ=3^0
