#--- Do not edit. Generated automatically from fig11 ---
#Time_sec,Time_min,Time_hr,A1: K-,sOD=0.25, sϕ=0,A2: K-,sOD=0.25, sϕ=3^-8,A3: K-,sOD=0.25, sϕ=3^-9,A4: K-,sOD=0.25, sϕ=3^-10,A5: K-,sOD=0.25, sϕ=0,A6: K-,sOD=0.25, sϕ=3^-8,A7: K-,sOD=0.25, sϕ=3^-9,A8: K-,sOD=0.25, sϕ=3^-10,A9: K-,sOD=0.25, sϕ=0,A10: K-,sOD=0.25, sϕ=3^-8,A11: K-,sOD=0.25, sϕ=3^-9,A12: K-,sOD=0.25, sϕ=3^-10,B1: K-,sOD=0.125, sϕ=0,B2: K-,sOD=0.125, sϕ=3^-8,B3: K-,sOD=0.125, sϕ=3^-9,B4: K-,sOD=0.125, sϕ=3^-10,B5: K-,sOD=0.125, sϕ=0,B6: K-,sOD=0.125, sϕ=3^-8,B7: K-,sOD=0.125, sϕ=3^-9,B8: K-,sOD=0.125, sϕ=3^-10,B9: K-,sOD=0.125, sϕ=0,B10: K-,sOD=0.125, sϕ=3^-8,B11: K-,sOD=0.125, sϕ=3^-9,B12: K-,sOD=0.125, sϕ=3^-10,C1: K-,sOD=0.0625, sϕ=0,C2: K-,sOD=0.0625, sϕ=3^-8,C3: K-,sOD=0.0625, sϕ=3^-9,C4: K-,sOD=0.0625, sϕ=3^-10,C5: K-,sOD=0.0625, sϕ=0,C6: K-,sOD=0.0625, sϕ=3^-8,C7: K-,sOD=0.0625, sϕ=3^-9,C8: K-,sOD=0.0625, sϕ=3^-10,C9: K-,sOD=0.0625, sϕ=0,C10: K-,sOD=0.0625, sϕ=3^-8,C11: K-,sOD=0.0625, sϕ=3^-9,C12: K-,sOD=0.0625, sϕ=3^-10,D1: K-,sOD=0.03125, sϕ=0,D2: K-,sOD=0.03125, sϕ=3^-8,D3: K-,sOD=0.03125, sϕ=3^-9,D4: K-,sOD=0.03125, sϕ=3^-10,D5: K-,sOD=0.03125, sϕ=0,D6: K-,sOD=0.03125, sϕ=3^-8,D7: K-,sOD=0.03125, sϕ=3^-9,D8: K-,sOD=0.03125, sϕ=3^-10,D9: K-,sOD=0.03125, sϕ=0,D10: K-,sOD=0.03125, sϕ=3^-8,D11: K-,sOD=0.03125, sϕ=3^-9,D12: K-,sOD=0.03125, sϕ=3^-10,E1: K+,sOD=0.25, sϕ=0,E2: K+,sOD=0.25, sϕ=3^-8,E3: K+,sOD=0.25, sϕ=3^-9,E4: K+,sOD=0.25, sϕ=3^-10,E5: K+,sOD=0.25, sϕ=0,E6: K+,sOD=0.25, sϕ=0,E7: K+,sOD=0.25, sϕ=3^-8,E8: K+,sOD=0.25, sϕ=3^-9,E9: K+,sOD=0.25, sϕ=-10,E10: K+,sOD=0.25, sϕ=3^-8,E11: K+,sOD=0.25, sϕ=3^-9,E12: K+,sOD=0.25, sϕ=3^-10,F1: K+,sOD=0.125, sϕ=0,F2: K+,sOD=0.125, sϕ=3^-8,F3: K+,sOD=0.125, sϕ=3^-9,F4: K+,sOD=0.125, sϕ=3^-10,F5: K+,sOD=0.125, sϕ=0,F6: K+,sOD=0.125, sϕ=0,F7: K+,sOD=0.125, sϕ=3^-8,F8: K+,sOD=0.125, sϕ=3^-9,F9: K+,sOD=0.125, sϕ=-10,F10: K+,sOD=0.125, sϕ=3^-8,F11: K+,sOD=0.125, sϕ=3^-9,F12: K+,sOD=0.125, sϕ=3^-10,G1: K+,sOD=0.0625, sϕ=0,G2: K+,sOD=0.0625, sϕ=3^-8,G3: K+,sOD=0.0625, sϕ=3^-9,G4: K+,sOD=0.0625, sϕ=3^-10,G5: K+,sOD=0.0625, sϕ=0,G6: K+,sOD=0.0625, sϕ=0,G7: K+,sOD=0.0625, sϕ=3^-8,G8: K+,sOD=0.0625, sϕ=3^-9,G9: K+,sOD=0.0625, sϕ=3^-10,G10: K+,sOD=0.0625, sϕ=3^-8,G11: K+,sOD=0.0625, sϕ=3^-9,G12: K+,sOD=0.0625, sϕ=3^-10,H1: K+,sOD=0.03125, sϕ=0,H2: K+,sOD=0.03125, sϕ=3^-8,H3: K+,sOD=0.03125, sϕ=3^-9,H4: K+,sOD=0.03125, sϕ=3^-10,H5: K+,sOD=0.03125, sϕ=0,H6: K+,sOD=0.03125, sϕ=0,H7: K+,sOD=0.03125, sϕ=3^-8,H8: K+,sOD=0.03125, sϕ=3^-9,H9: K+,sOD=0.03125, sϕ=3^-10,H10: K+,sOD=0.03125, sϕ=3^-8,H11: K+,sOD=0.03125, sϕ=3^-9,H12: K+,sOD=0.03125, sϕ=3^-10
Time_sec,Time,Time_hr,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
9860,164.333333333333,2.7388888888888903,22205571,23839848,25153207,23839848,22743556,15822620,20632123,24963314,24774179,28701275,30991476,29730759,16273640,20803956,23288311,18628277,18304711,19119192,21674345,20976537,20803956,22743556,19784154,22924388,17984109,18304711,19952256,22027745,20976537,16731281,19450185,19450185,23839848,20803956,25153207,20632123,14509168,16122565,16885301,15673750,14084515,16122565,16577998,20290697,14795922,19616798,17984109,19119192,7551817,7860104,6857174,8174758,8281060,8281060,8069165,7964281,7756635,7551817,7756635,7150651,1414308,1638808,1733308,1781568,1781568,1592565,1781568,1880107,1930387,1930387,2085278,1638808,251530,251530,394114,288993,308707,308707,251530,269934,288993,329075,308707,308707,62296,71589,62296,45652,45652,38300,38300,53650,103359,53650,62296,53650
10760,179.333333333333,2.9888888888888903,24025203,26699665,27093884,27093884,25535266,16731281,23471403,27491150,28497676,32279920,34714388,33154333,17195553,22205571,24025203,20290697,19450185,20121104,23288311,22205571,22027745,24025203,20976537,24398179,19616798,19616798,21149866,24585801,22027745,18791173,21149866,20976537,25535266,22743556,28294842,22205571,15673750,16885301,17824919,16885301,15378210,17195553,17508758,22205571,16731281,20976537,19284317,20803956,7249884,7653872,6570026,7860104,7964281,7964281,7756635,7653872,7450467,7249884,7450467,6760756,1329200,1502095,1638808,1685722,1685722,1457866,1685722,1781568,1830500,1830500,1981342,1502095,216680,216680,350099,269934,288993,269934,216680,233778,251530,308707,269934,269934,53650,62296,53650,38300,38300,38300,31595,45652,92120,45652,53650,45652
11660,194.333333333333,3.2388888888888903,26503698,30147923,30147923,29938957,29110769,18954811,25920360,30357657,30991476,34940359,37712813,36312538,17508758,23655248,26114046,21498769,20803956,21850670,25343857,23471403,24025203,26308492,23105973,26896394,19784154,21323943,23471403,26114046,23288311,19450185,23105973,23105973,28905639,24025203,31417872,24774179,16577998,17508758,19119192,17508758,15972226,18466123,19119192,25727433,17195553,22563476,21323943,22924388,6954296,7450467,6289195,7551817,7756635,7756635,7551817,7349823,7249884,7052121,7052121,6475714,1287649,1414308,1546995,1592565,1592565,1414308,1638808,1733308,1733308,1733308,1880107,1414308,200235,200235,329075,251530,251530,251530,200235,216680,233778,269934,251530,251530,45652,62296,45652,31595,38300,31595,31595,38300,81530,45652,53650,38300
12560,209.333333333333,3.4888888888888903,27891469,32279920,32063250,31632227,31204289,20461036,28092773,32934569,32497363,36776170,39623711,37712813,18304711,25535266,28092773,23471403,22563476,24585801,28092773,25535266,25920360,28905639,25153207,28701275,20632123,23105973,24585801,28092773,24963314,20803956,24774179,24398179,30991476,25727433,35394636,25343857,18304711,18628277,20803956,18466123,16885301,19119192,20290697,27891469,18466123,24585801,22743556,25535266,6665040,7150651,6014669,7249884,7450467,7551817,7249884,7150651,6954296,6760756,6760756,6014669,1206554,1287649,1457866,1502095,1502095,1371419,1546995,1638808,1638808,1638808,1733308,1329200,184442,184442,308707,233778,233778,233778,184442,200235,216680,251530,233778,233778,38300,53650,38300,31595,31595,31595,25536,31595,81530,38300,45652,38300
13460,224.333333333333,3.7388888888888903,28701275,33374871,33818273,33154333,32934569,21498769,29938957,34714388,33818273,37948931,41089902,40109291,19284317,27093884,30147923,25727433,24211313,27491150,30991476,27891469,29316665,32279920,28092773,32715579,21850670,25153207,25920360,30568161,27292136,22027745,26503698,26114046,34714388,28701275,38901238,28497676,19450185,19784154,22027745,19784154,17984109,20976537,21674345,29730759,19284317,26699665,25153207,25727433,6382104,6857174,5835149,6954296,7150651,7249884,6954296,6857174,6665040,6475714,6570026,5658422,1128129,1206554,1371419,1457866,1457866,1246768,1457866,1546995,1592565,1546995,1638808,1246768,154811,154811,269934,200235,216680,200235,169301,184442,200235,216680,200235,200235,31595,45652,38300,25536,25536,25536,20122,31595,71589,38300,38300,31595
14360,239.333333333333,3.9888888888888903,29523328,34264777,34264777,34041137,34041137,22924388,31417872,36081893,34940359,39382101,42836363,42083137,21149866,30147923,32934569,28092773,27491150,30779433,34489194,30991476,32497363,35167109,30779433,35167109,23655248,27292136,27491150,33596184,29938957,24211313,29110769,29316665,40353262,30991476,43342474,31632227,20803956,20632123,23471403,21149866,19284317,22743556,23471403,33596184,20976537,29730759,27491150,29316665,6105478,6665040,5571106,6760756,6954296,7052121,6760756,6665040,6475714,6196986,6289195,5398564,1052372,1128129,1287649,1371419,1371419,1206554,1371419,1457866,1502095,1457866,1546995,1167008,140972,140972,251530,184442,200235,184442,140972,154811,184442,200235,184442,184442,31595,38300,31595,25536,25536,20122,15353,25536,62296,31595,31595,25536
15260,254.333333333333,4.23888888888889,30991476,35394636,35394636,35622943,34489194,23839848,32934569,37712813,36312538,41089902,45138857,45138857,22743556,32715579,36081893,29938957,29110769,32934569,36312538,33374871,34714388,37009158,33154333,37477479,26114046,30568161,29730759,36776170,32934569,25727433,32279920,32934569,45398662,34714388,46974234,34714388,22924388,21850670,25343857,22743556,21149866,24774179,25535266,36543964,22563476,33154333,30147923,32715579,5924559,6382104,5313338,6382104,6665040,6760756,6570026,6475714,6289195,6014669,6105478,5144972,979279,1052372,1206554,1287649,1329200,1128129,1287649,1414308,1414308,1414308,1457866,1052372,127784,127784,233778,169301,184442,169301,127784,140972,169301,184442,169301,169301,25536,38300,31595,20122,20122,20122,15353,25536,62296,25536,31595,25536
16160,269.33333333333303,4.48888888888889,32063250,37009158,36543964,36543964,36312538,25343857,35852028,40109291,37477479,43089022,46974234,47239623,23839848,34041137,37712813,31632227,31417872,34264777,38661984,35167109,36776170,38661984,35167109,40598020,28092773,33596184,32497363,39866108,36081893,28497676,36312538,37242928,52998065,38423516,49664138,37712813,24774179,24025203,27891469,24774179,23105973,27292136,28497676,41833643,25343857,37477479,33374871,37242928,5746437,6196986,5144972,6289195,6475714,6570026,6382104,6289195,6105478,5746437,5924559,4979387,908846,979279,1167008,1246768,1246768,1089917,1206554,1329200,1371419,1329200,1371419,979279,115247,115247,216680,154811,169301,154811,115247,127784,154811,169301,154811,154811,25536,31595,25536,20122,20122,15353,11229,20122,62296,25536,25536,20122
17060,284.33333333333303,4.73888888888889,33154333,38423516,37948931,37948931,37712813,27292136,37948931,42333421,39382101,45398662,49664138,49937538,24774179,34940359,38661984,33154333,33154333,36312538,40109291,36776170,38661984,40843567,37009158,43342474,30147923,35622943,34714388,42836363,39141277,31417872,40109291,40598020,58217402,40598020,51316600,40598020,27491150,25727433,30991476,27690928,25727433,30779433,31847353,47772798,28497676,40109291,36543964,40109291,5484487,5924559,4979387,6014669,6289195,6382104,6196986,6105478,5924559,5571106,5658422,4736214,841071,908846,1052372,1167008,1206554,1015493,1167008,1287649,1329200,1287649,1329200,908846,103359,103359,200235,140972,154811,140972,115247,115247,140972,154811,140972,140972,20122,31595,25536,15353,15353,15353,11229,20122,53650,20122,25536,15353
17960,299.33333333333303,4.98888888888889,35167109,39866108,39141277,39623711,39382101,29938957,40353262,45398662,41337026,47772798,52434348,53281136,25727433,36543964,40109291,34489194,34714388,38423516,42083137,39382101,41089902,43089022,39382101,47239623,31417872,37242928,36312538,44621632,42083137,33154333,41833643,43342474,63389460,43342474,53565015,44364212,29938957,27891469,34264777,30357657,29110769,34489194,35622943,53281136,31847353,42333421,39382101,44107587,5228807,5658422,4736214,5835149,6105478,6196986,6014669,5924559,5746437,5398564,5484487,4499278,775949,841071,979279,1089917,1128129,943730,1089917,1206554,1246768,1206554,1246768,841071,92120,92120,184442,127784,140972,127784,103359,103359,127784,154811,127784,127784,20122,25536,20122,15353,15353,11229,7749,15353,53650,20122,20122,15353
