#--- Do not edit. Generated automatically from fig15i_complete ---
#Time_sec,Time_min,Time_hr,A1: Amp-,631X+261x medium=0,A2: Amp-,631X+261x medium=1/5,A3: Amp-,631X+261x medium=2/5,A4: Amp-,631X+261x medium=3/5,A5: Amp-,631X+261x medium=4/5,A6: Amp-,631X+261x medium=5/5,A7: Amp+,631X+261x medium=0,A8:  Amp+,631X+261x medium=1/5,A9:  Amp+,631X+261x medium=2/5,A10:  Amp+,631X+261x medium=3/5,A11:  Amp+,631X+261x medium=4/5,A12: Amp+,631X+261x medium=5/5,B1: Amp-,631+261x medium=0,B2: Amp-,631+261x medium=1/5,B3: Amp-,631+261x medium=2/5,B4: Amp-,631+261x medium=3/5,B5: Amp-,631+261x medium=4/5,B6: Amp-,631+261x medium=5/5,B7: Amp+,631+261x medium=0,B8:  Amp+,631+261x medium=1/5,B9:  Amp+,631+261x medium=2/5,B10:  Amp+,631+261x medium=3/5,B11:  Amp+,631+261x medium=4/5,B12: Amp+,631+261x medium=5/5,C1: Amp-,631∆G3P+261x medium=0,C2: Amp-,631∆G3P+261x medium=1/5,C3: Amp-,631∆G3P+261x medium=2/5,C4: Amp-,631∆G3P+261x medium=3/5,C5: Amp-,631∆G3P+261x medium=4/5,C6: Amp-,631∆G3P+261x medium=5/5,C7: Amp+,631∆G3P+261x medium=0,C8:  Amp+,631∆G3P+261x medium=1/5,C9:  Amp+,631∆G3P+261x medium=2/5,C10:  Amp+,631∆G3P+261x medium=3/5,C11:  Amp+,631∆G3P+261x medium=4/5,C12: Amp+,631∆G3P+261x medium=5/5,D1: Amp-,631∆G3P+Kanϕ medium=0,D2: Amp-,631∆G3P+Kanϕ medium=1/5,D3: Amp-,631∆G3P+Kanϕ medium=2/5,D4: Amp-,631∆G3P+Kanϕ medium=3/5,D5: Amp-,631∆G3P+Kanϕ medium=4/5,D6: Amp-,631∆G3P+Kanϕ medium=5/5,D7: Amp+,631∆G3P+Kanϕ medium=0,D8:  Amp+,631∆G3P+Kanϕ medium=1/5,D9:  Amp+,631∆G3P+Kanϕ medium=2/5,D10:  Amp+,631∆G3P+Kanϕ medium=3/5,D11:  Amp+,631∆G3P+Kanϕ medium=4/5,D12: Amp+,631∆G3P+Kanϕ medium=5/5,E1: Amp-,631+Kanϕ, unfiltered-50kDa, medium=0,E2: Amp-,631+Kanϕ, unfiltered-50kDa, medium=1/5,E3: Amp-,631+Kanϕ, unfiltered-50kDa, medium=2/5,E4: Amp-,631+Kanϕ, unfiltered-50kDa, medium=3/5,E5: Amp-,631+Kanϕ, unfiltered-50kDa, medium=4/5,E6: Amp-,631+Kanϕ, unfiltered-50kDa, medium=5/5,E7: Amp+,631+Kanϕ, unfiltered-50kDa, medium=0,E8:  Amp+,631+Kanϕ, unfiltered-50kDa, medium=1/5,E9:  Amp+,631+Kanϕ, unfiltered-50kDa, medium=2/5,E10:  Amp+,631+Kanϕ, unfiltered-50kDa, medium=3/5,E11:  Amp+,631+Kanϕ, unfiltered-50kDa, medium=4/5,E12: Amp+,631+Kanϕ, unfiltered-50kDa, medium=5/5,F1: Amp-,631+Kanϕ, filtered-50kDa, medium=0,F2: Amp-,631+Kanϕ, filtered-50kDa, medium=1/5,F3: Amp-,631+Kanϕ, filtered-50kDa, medium=2/5,F4:  Amp-,631+Kanϕ, filtered-50kDa, medium=3/5,F5: Amp-,631+Kanϕ, filtered-50kDa, medium=4/5,F6: Amp-,631+Kanϕ, filtered-50kDa, medium=5/5,F7: Amp+,631+Kanϕ, filtered-50kDa, medium=0,F8:  Amp+,631+Kanϕ, filtered-50kDa, medium=1/5,F9:  Amp+,631+Kanϕ, filtered-50kDa, medium=2/5,F10:  Amp+,631+Kanϕ, filtered-50kDa, medium=3/5,F11:  Amp+,631+Kanϕ, filtered-50kDa, medium=4/5,F12: Amp+,631+Kanϕ, filtered-50kDa, medium=5/5,G1: Amp-,631+phagemid, medium=0,G2: Amp-,631+phagemid,  medium=1/5,G3:Amp-,631+phagemid,  medium=2/5,G4: Amp-,631+phagemid,  medium=3/5,G5:  Amp-,631+phagemid,  medium=4/5,G6: Amp-,631+phagemid,  medium=5/5,G7: Amp+,631+phagemid, medium=0,G8:  Amp+,631+phagemid, medium=1/5,G9:  Amp+,631+phagemid, medium=2/5,G10:  Amp+,631+phagemid,  medium=3/5,G11:  Amp+,631+phagemid,  medium=4/5,G12: Amp+,631+phagemid,  medium=5/5,H1: LB Blank,H2: LB Blank,H3: only LB, no phages,H4: 631X+261x medium, no phages,H5: 631+261X, no phages,H6: 631∆G3P+261X, no phages,H7: 631∆G3P+Kanϕ medium, no phages,H8: 631+Kanϕ, unfiltered-50kDa medium, no phages,H9: 631+Kanϕ, filtered-50kDa, medium, no phages,H10: 631+ phagemid carrying the G3P, no phages,H11: LB/Amp Blank,H12: LB/Amp Blank
Time_sec,Time,Time_hr,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
9860,164.333333333333,2.7388888888888903,12716336,11295053,10677859,10922579,10677859,8495791,4913,15353,11229,11229,4913,4913,11674009,13254885,12189387,11546969,11420651,8174758,7749,11229,7749,11229,7749,11229,11170175,13666424,10316162,10078616,10677859,7249884,4913,7749,7749,7749,7749,11229,12984159,14366887,11420651,9960918,9383148,7964281,1170,7749,7749,11229,7749,7749,12451414,15378210,11801770,12984159,11674009,11420651,7749,11229,7749,11229,25536,7749,13666424,13391337,11674009,11295053,11046018,24585801,31595,11229,7749,15353,7749,11229,12984159,14225336,12583513,11930253,11170175,8174758,11229,15353,11229,11229,7749,7749,4913,11229,16577998,9727666,8933776,9045050,9960918,11674009,9612113,4656543,2720,4913
10760,179.333333333333,2.9888888888888903,14225336,13254885,12320038,12984159,12451414,10078616,4913,15353,11229,11229,4913,4913,12984159,14509168,13944423,13944423,13391337,10677859,7749,11229,7749,11229,7749,11229,12849885,14509168,12059459,12059459,12716336,9269736,4913,7749,11229,7749,7749,11229,14509168,15378210,13254885,12059459,11170175,9960918,1170,7749,7749,11229,7749,7749,14652180,17195553,13254885,15525613,14084515,14225336,7749,11229,7749,11229,25536,7749,15972226,14509168,14084515,14225336,13391337,30147923,31595,11229,7749,15353,7749,11229,15525613,16731281,14940396,14366887,13805059,10078616,11229,15353,11229,11229,7749,7749,4913,7749,19119192,11930253,11295053,11420651,12451414,15085601,11930253,6475714,2720,4913
11660,194.333333333333,3.2388888888888903,14940396,14366887,12984159,13805059,13528517,11930253,4913,15353,11229,11229,2720,4913,15231539,15525613,14795922,15378210,15378210,12583513,7749,11229,7749,11229,7749,11229,13666424,15085601,12984159,13666424,14509168,10799860,4913,7749,7749,7749,7749,11229,16122565,16425451,14652180,13119159,12189387,11170175,1170,7749,7749,11229,7749,7749,15673750,18144040,13391337,16731281,15085601,15673750,7749,11229,4913,15353,25536,7749,17351786,15673750,15525613,16577998,15525613,32063250,31595,11229,7749,15353,7749,11229,16885301,18304711,15378210,16273640,16577998,11801770,11229,15353,11229,11229,7749,7749,4913,7749,21850670,13805059,13528517,13119159,14509168,17666469,13805059,7860104,2720,4913
12560,209.333333333333,3.4888888888888903,16577998,16122565,14084515,15085601,14084515,13254885,4913,15353,11229,11229,2720,4913,16885301,16731281,15972226,15972226,15673750,14084515,7749,11229,7749,7749,7749,11229,14225336,17040058,13528517,14652180,15231539,12059459,4913,7749,7749,7749,7749,11229,17824919,18628277,16425451,13944423,13666424,12716336,1170,4913,7749,11229,7749,7749,17195553,20461036,14940396,18144040,16731281,17040058,7749,11229,4913,11229,20122,7749,19284317,17040058,17195553,17666469,16577998,35852028,31595,11229,7749,11229,7749,7749,18304711,20803956,17040058,17984109,18791173,13391337,11229,15353,11229,11229,7749,7749,4913,7749,24774179,15378210,15231539,14795922,15972226,19616798,15822620,9612113,1170,4913
13460,224.333333333333,3.7388888888888903,17351786,17351786,15378210,15972226,14366887,14225336,4913,15353,11229,11229,2720,4913,18466123,18466123,16577998,16731281,16273640,15673750,11229,11229,7749,11229,7749,11229,15673750,18304711,15085601,16425451,16122565,13119159,4913,7749,7749,7749,7749,11229,19450185,20803956,18304711,14940396,14084515,13805059,1170,7749,7749,11229,7749,7749,19616798,23655248,16273640,19616798,19119192,18954811,7749,11229,7749,11229,25536,7749,21674345,19450185,19616798,18304711,17824919,38901238,31595,11229,7749,15353,7749,11229,19450185,22924388,17984109,19616798,20461036,14366887,11229,11229,11229,11229,7749,7749,4913,7749,27491150,16731281,16885301,15673750,17040058,21850670,16885301,11295053,2720,4913
14360,239.333333333333,3.9888888888888903,19119192,17984109,16273640,16731281,15085601,15231539,4913,15353,11229,11229,4913,4913,20461036,20121104,17824919,17508758,17040058,15822620,11229,11229,7749,7749,7749,11229,16577998,19616798,16731281,17040058,16577998,13666424,4913,7749,7749,7749,7749,7749,20976537,22384148,19450185,15822620,14795922,14366887,1170,4913,7749,11229,7749,7749,21323943,26308492,17508758,21498769,20632123,20976537,7749,11229,7749,11229,25536,7749,23471403,21323943,20461036,19784154,18304711,40353262,31595,11229,7749,15353,7749,11229,20632123,25343857,18954811,21498769,22563476,14940396,11229,15353,11229,11229,7749,7749,4913,7749,30357657,17351786,17984109,16273640,18144040,24398179,17195553,11546969,2720,4913
15260,254.333333333333,4.23888888888889,20121104,19119192,17040058,17666469,16122565,15525613,4913,15353,11229,11229,4913,4913,22384148,22563476,19284317,18466123,17984109,16577998,11229,11229,7749,7749,7749,11229,17984109,20976537,17824919,17824919,17508758,13944423,4913,7749,7749,7749,7749,11229,21674345,23471403,22205571,16425451,15673750,15378210,1170,7749,7749,11229,7749,7749,23105973,29316665,19119192,23288311,22563476,22743556,7749,11229,7749,15353,25536,7749,25727433,23655248,23839848,21149866,19450185,41833643,31595,11229,7749,15353,7749,11229,21850670,28905639,20632123,23655248,24585801,15525613,11229,15353,11229,11229,11229,7749,4913,7749,34041137,17666469,18628277,16577998,18954811,26896394,18791173,12189387,2720,4913
16160,269.33333333333303,4.48888888888889,21498769,20976537,18304711,18954811,17040058,16425451,4913,15353,11229,11229,4913,4913,23839848,24211313,20290697,20121104,19119192,17351786,7749,11229,7749,11229,7749,11229,19119192,22924388,19284317,19284317,17984109,14225336,4913,7749,7749,7749,7749,11229,23471403,25920360,23839848,17195553,16425451,16122565,1170,7749,7749,11229,7749,7749,25727433,32497363,20461036,24963314,24585801,25343857,7749,11229,7749,11229,25536,7749,28497676,26699665,26503698,22563476,20803956,42836363,31595,11229,7749,15353,7749,11229,24025203,32715579,23655248,26503698,26503698,15822620,11229,15353,11229,11229,7749,7749,4913,7749,38185831,18144040,19119192,16731281,19784154,30357657,18954811,12189387,2720,4913
17060,284.33333333333303,4.73888888888889,22924388,23288311,19784154,20121104,18791173,17040058,4913,15353,11229,11229,4913,4913,25920360,26114046,22205571,22027745,20461036,17824919,7749,11229,7749,11229,7749,11229,20803956,24398179,21149866,21323943,19284317,14652180,7749,7749,11229,7749,7749,11229,25727433,28701275,26308492,18466123,17824919,17195553,1170,7749,7749,11229,7749,7749,28701275,37477479,22205571,27292136,27690928,27891469,7749,11229,7749,15353,25536,11229,32279920,30779433,30147923,24963314,22205571,44879846,38300,11229,7749,15353,7749,11229,26699665,37948931,27491150,30991476,29110769,15972226,11229,15353,11229,11229,11229,7749,4913,7749,43851755,18466123,19952256,16731281,20803956,34489194,19119192,12059459,2720,4913
17960,299.33333333333303,4.98888888888889,24398179,26114046,21323943,21674345,20121104,17040058,4913,15353,11229,11229,4913,4913,28701275,28701275,24398179,24585801,22384148,18144040,7749,11229,7749,11229,7749,11229,22743556,26896394,22924388,22924388,20461036,14652180,7749,7749,7749,7749,7749,11229,28294842,32063250,30357657,19784154,18954811,17666469,1170,7749,7749,11229,7749,7749,32279920,42333421,23288311,30147923,30779433,31204289,7749,11229,7749,11229,25536,7749,36312538,34714388,32497363,27690928,23839848,47239623,31595,11229,7749,15353,7749,11229,29938957,45659265,30991476,35852028,31632227,15822620,11229,15353,11229,11229,7749,7749,4913,7749,51039178,18791173,20632123,16577998,21323943,39382101,19284317,11930253,2720,4913
