#--- Do not edit. Generated automatically from fig15i ---
#Time_sec,Time_min,Time_hr,A7: Amp+,LB_only,H4: 631X+261x_medium,no_phages,A10: Amp+,631X+261x_medium=3/5,H5: 631+261X,no_phages,B10: Amp+,631+261x_medium=3/5,H6: 631∆G3P+261X,no_phages,C10: Amp+,631∆G3P+261x_medium=3/5,H7: 631∆G3P+Kanϕ_medium,no_phages,D10: Amp+,631∆G3P+Kanϕ_medium=3/5,H8: 631+Kanϕ,unfiltered-50kDa_medium,no_phages,E10: Amp+,631+Kanϕ,unfiltered-50kDa,medium=3/5,H9: 631+Kanϕ,filtered-50kDa,medium,no_phages,F10: Amp+,631+Kanϕ,filtered-50kDa,medium=3/5,H10: 631+_phagemid_carrying_the_G3P,no_phages,G10: Amp+,631+phagemid,medium=3/5
Time_sec,Time,Time_hr,A7,H4,A10,H5,B10,H6,C10,H7,D10,H8,E10,H9,F10,H10,G10
102221,1703.68333333333,28.39472222222,231452848,130376629,244987949,151031004,51594827,163815629,52715803,183801522,35167109,135030647,177179313,108861186,42333421,153037906,59413066
103121,1718.68333333333,28.64472222222,232723290,131763392,245643286,152032622,49391540,164863326,54996554,185478247,34940359,135501001,179371684,109279069,41584940,155059489,58515093
104021,1733.68333333333,28.89472222222,233997642,134092643,246299609,155567182,47772798,167498804,57624467,187727092,34714388,135501001,182133277,110117467,41089902,156585326,57624467
104921,1748.68333333333,29.14472222222,233997642,136917479,250921508,159146805,46709644,169623915,60926045,188291666,34714388,136917479,183801522,111381648,40598020,158632666,57034792
105821,1763.68333333333,29.39472222222,233997642,138818765,252250948,161731350,45659265,171227524,64640909,189991062,34714388,137391444,187163464,112228830,40109291,160177852,56156385
106721,1778.68333333333,29.64472222222,233997642,141215742,254921712,163293170,44879846,173918861,67827333,192270184,34940359,137866313,188857185,113079532,39623711,161731350,55574846
107621,1793.68333333333,29.89472222222,234636285,142664813,254921712,164339014,44107587,173918861,70765992,194564485,35167109,139296349,191128727,113933757,39382101,163815629,54996554
108521,1808.68333333333,30.14472222222,235275906,145098107,256935199,165914732,43342474,176633564,73434766,197453749,35622943,139774838,193415436,115652790,39141277,165388565,54708626
109421,1823.68333333333,30.39472222222,235916507,147061131,256935199,169091242,42584496,178822184,75813846,199782303,35852028,140734534,195140435,116084756,38901238,167498804,54135200
110321,1838.68333333333,30.64472222222,237844186,150531569,258282487,171763925,42083137,181579078,78583165,200952304,36312538,141697858,196873993,117821461,38661984,169623915,54135200
111221,1853.68333333333,30.89472222222,238488707,152032622,256935199,173918861,41584940,183244498,80695540,202714470,36543964,141697858,199198734,118257850,38661984,171227524,53849703
112121,1868.68333333333,31.14472222222,241076606,153037906,258282487,175001935,41089902,184359487,83198448,205077416,37009158,142664813,200952304,120012269,38661984,172839526,53849703
113021,1883.68333333333,31.39472222222,243027849,155567182,258957623,178273622,40843567,188291666,85376877,206859684,37712813,142664813,202714470,121337402,38661984,175001935,53849703
113921,1898.68333333333,31.64472222222,244987949,157607153,258282487,180473502,40353262,189423650,87957101,208052658,38661984,144122060,203303771,122225268,38901238,176633564,54135200
114821,1913.68333333333,31.89472222222,246956918,159146805,257608346,182133277,40109291,192270184,89825726,210450134,39866108,144609628,205077416,123116693,39141277,177725999,54421508
115721,1928.68333333333,32.144722222220004,251585733,160694760,256935199,182688417,39866108,193989485,92096330,212863001,41833643,145098107,206859684,124011680,39382101,179922123,54996554
116621,1943.68333333333,32.394722222220004,255591882,162251031,254921712,184918395,39866108,195717337,94012108,214682767,43851755,145098107,207455691,125360849,39866108,180473502,55574846
117521,1958.68333333333,32.644722222220004,260310877,163815629,255591882,187163464,39382101,198034458,95949403,217735016,46182860,147061131,209249474,126264757,40109291,182133277,55865209
118421,1973.68333333333,32.894722222220004,265078638,164863326,254252535,187727092,39382101,198616119,98302637,218962682,49119746,148048117,209249474,127627323,40598020,183801522,56741176
119321,1988.68333333333,33.144722222220004,271280511,166969851,252917153,189991062,39382101,202126126,99490932,221429633,53281136,147554168,211051907,128540174,41089902,184918395,57329222
120221,2003.68333333333,33.394722222220004,278970838,169091242,253584348,191698982,39382101,204485243,102293973,222668924,55865209,149038755,211051907,129916170,41584940,187163464,57920527
121121,2018.68333333333,33.644722222220004,286782986,170692056,252917153,193415436,39382101,206859684,104322229,225784143,59714025,150033050,211654642,131300239,42083137,187727092,59112925
122021,2033.68333333333,33.894722222220004,291818039,171763925,250921508,193415436,39382101,208052658,105960523,227037036,64013537,150033050,214075214,131763392,42584496,189423650,60015802
122921,2048.68333333333,34.144722222220004,300565290,175001935,252250948,197453749,39382101,212863001,108444179,230819092,70107137,151031004,214075214,133624993,43851755,191698982,60621811
123821,2063.68333333333,34.394722222220004,304993927,176088751,250258273,197453749,39382101,213468625,110117467,232723290,73098246,152534806,214075214,134561195,45398662,192270184,61843666
124721,2078.68333333333,34.644722222220004,309459362,177179313,248274497,198616119,39623711,214682767,111381648,234636285,77538361,152032622,214682767,135030647,47239623,193415436,62768676
125621,2093.68333333333,34.894722222220004,314715667,179371684,248934767,201538737,39623711,218348366,113933757,237200646,81406424,153541925,215291286,136444417,49119746,194564485,64013537
126521,2108.68333333333,35.144722222220004,318500993,180473502,245643286,203303771,39866108,220194220,114791509,238488707,83921193,153541925,215900769,136917479,51594827,195140435,64955833
127421,2123.68333333333,35.394722222220004,323843714,182133277,246299609,203894028,40109291,223290025,116517605,240428158,88329116,154552716,215900769,139296349,54421508,197453749,66223784
128321,2138.68333333333,35.644722222220004,327690920,183801522,244987949,206264636,40353262,226410103,118695125,243027849,91715752,154552716,217735016,140254233,57920527,198034458,67183429
129221,2153.68333333333,35.894722222220004,331564000,184918395,243680231,206859684,40598020,227664943,119572334,244987949,95171899,155567182,216511219,140734534,62151181,198616119,68474553
130121,2168.68333333333,36.144722222220004,336245925,184918395,241726037,206859684,40843567,228923678,120894803,245643286,97514769,157095779,216511219,141697858,65905557,199198734,69778957
131021,2183.68333333333,36.394722222220004,340176116,186600781,241726037,209249474,41089902,232087581,122670535,248274497,100687026,156585326,217122634,142664813,69125094,200952304,70765992
131921,2198.68333333333,36.644722222220004,344132352,188291666,241726037,211051907,41337026,234636285,124460511,250921508,103914836,158119449,219577967,144609628,72762562,202714470,72093701
132821,2213.68333333333,36.894722222220004,348914290,190559421,241726037,213468625,41833643,237200646,126264757,252250948,106784910,159661867,219577967,146077796,76846033,203894028,73772122
133721,2228.68333333333,37.144722222220004,351319380,190559421,239780693,214075214,42083137,239780693,127627323,252917153,110117467,159661867,220811442,147061131,80695540,204485243,75129918
134621,2243.68333333333,37.394722222220004,354540839,191698982,238488707,215291286,42584496,241726037,128997943,254921712,112653741,159661867,221429633,148048117,83921193,205077416,76501131
135521,2258.68333333333,37.644722222220004,358591278,193415436,239134209,217122634,43089022,243680231,130837985,257608346,115221708,160694760,223290025,149535445,87215631,206264636,77885787
136421,2273.68333333333,37.894722222220004,359404519,194564485,235916507,216511219,43596718,244987949,131763392,258282487,119133286,161212593,221429633,150033050,90202018,206859684,79988038
137321,2288.68333333333,38.144722222220004,363486514,195717337,235916507,218348366,44107587,247615214,132692393,260310877,120453092,161731350,222668924,151531355,93243217,207455691,82120692
138221,2303.68333333333,38.394722222220004,368419700,196873993,238488707,221429633,44879846,250258273,135030647,262348223,125812356,162771638,222668924,153541925,97122132,209849323,84647335
139121,2318.68333333333,38.644722222220004,370072545,198616119,235916507,222048793,45398662,252250948,135972258,263711436,127172240,163293170,224535141,154046861,99888763,209849323,88329116
140021,2333.68333333333,38.894722222220004,372559745,199198734,235275906,222668924,45920664,254252535,136917479,265078638,130837985,163815629,223912097,155059489,102697883,211051907,90957170
140921,2348.68333333333,39.144722222220004,376726262,199782303,234636285,223290025,46974234,256263044,137391444,266449834,131763392,165388565,224535141,156585326,105960523,211654642,92860062
141821,2363.68333333333,39.394722222220004,380078571,202126126,233997642,226410103,48040586,258282487,138818765,268514121,135972258,165914732,224535141,158119449,109697829,212863001,95171899
142721,2378.68333333333,39.644722222220004,382603960,202714470,233997642,226410103,49119746,260310877,139296349,269895314,138818765,165914732,223912097,159146805,112228830,213468625,97514769
143621,2393.68333333333,39.894722222220004,384292872,204485243,233997642,229554507,50762561,263711436,140254233,271974613,140734534,166969851,224535141,160694760,115652790,214075214,99888763
144521,2408.68333333333,40.144722222220004,387683478,204485243,233359977,230819092,52434348,266449834,141697858,273365824,143635402,167498804,226410103,161731350,118257850,214075214,101890933
145421,2423.68333333333,40.394722222220004,389385178,206264636,233359977,232723290,54135200,268514121,142180881,274761049,145587496,168028687,225784143,163293170,121337402,215291286,103914836
146321,2438.68333333333,40.644722222220004,391945736,207455691,233997642,234636285,56156385,271280511,143635402,276160291,148542979,168559499,226410103,164863326,124460511,216511219,106372279
147221,2453.68333333333,40.894722222220004,393658117,208052658,233359977,236558087,58515093,274062935,144609628,278266692,152534806,169091242,227037036,165914732,127627323,217122634,108861186
